m_name	n_HBD	n_aliphatic_heterocycles	n_HBA	m_logp	n_atoms_stereo_centers	n_O	n_hetero_atoms	n_primary_carbon_atoms	n_HOH	n_hetero_cycles	n_aliphatic_carbocycles	n_saturated_carbocycles	n_briged_head_atoms	fraction_CSP3	is_cns_molecule
TALINOLOL	4	0	4	3.268600000000002	1	6	6	20	4	0	1	1	0	0.65	0
METHADONE	0	0	2	4.292000000000004	1	2	2	21	0	0	0	0	0	0.3809523809523809	1
EDETATE_CALCIUM_DISODIUM	4	0	6	-2.0711999999999957	0	10	10	10	4	0	0	0	0	0.6	0
ZOPICLONE	0	2	7	1.568	1	9	10	17	0	4	0	0	0	0.35294117647058826	1
MOXIFLOXACIN_HYDROCHLORIDE	2	2	6	2.3705	2	7	8	21	2	3	1	1	0	0.5238095238095238	0
DESMOPRESSIN	14	2	15	-4.1320300000000145	7	26	28	46	18	2	0	0	0	0.4782608695652174	0
PHENMETRAZINE	1	1	2	1.736	2	2	2	11	1	1	0	0	0	0.4545454545454545	1
PAMIDRONATE	6	0	4	-1.6633000000000002	0	8	10	3	7	0	0	0	0	1.0	0
CEFACLOR	3	2	5	0.6213000000000004	3	7	9	15	4	2	0	0	0	0.26666666666666666	0
CARBOCYSTEINE	3	0	4	-0.7838999999999998	1	5	6	5	4	0	0	0	0	0.6	0
PENFLURIDOL	1	1	2	7.532700000000008	0	2	8	28	1	1	0	0	0	0.35714285714285715	1
TRAZODONE	0	1	6	2.3617	0	6	7	19	0	3	0	0	0	0.3684210526315789	1
OLMESARTAN	2	0	11	4.1700200000000045	0	12	12	29	2	3	0	0	0	0.3103448275862069	0
ZAFIRLUKAST	2	0	7	5.6959200000000045	0	9	10	31	2	1	1	1	0	0.2903225806451613	0
VORICONAZOLE	1	0	6	2.1769	2	6	9	16	1	2	0	0	0	0.25	0
DROSPIRENONE	0	1	3	4.305900000000004	10	3	3	24	0	1	6	5	0	0.8333333333333334	0
METHYLPHENIDATE	1	1	3	2.0853	2	3	3	14	1	1	0	0	0	0.5	1
TETRABENAZINE	0	2	4	3.238100000000002	2	4	4	19	0	2	0	0	0	0.631578947368421	1
MIDAZOLAM	0	1	3	4.324220000000002	0	3	5	18	0	2	0	0	0	0.1111111111111111	1
DISOPYRAMIDE	1	0	3	3.3619000000000017	1	4	4	21	2	1	0	0	0	0.42857142857142855	0
EFAVIRENZ	1	1	2	4.073100000000002	1	3	7	14	1	1	1	1	0	0.35714285714285715	0
NORGESTREL	1	0	2	3.8826000000000014	6	2	2	21	1	0	4	3	0	0.7619047619047619	0
FLURAZEPAM	0	1	3	4.004900000000005	0	4	6	21	0	1	0	0	0	0.3333333333333333	1
OMEPRAZOLE	1	0	5	2.8997400000000013	1	6	7	17	1	2	0	0	0	0.29411764705882354	0
NIACIN	1	0	2	0.7797999999999999	0	3	3	6	1	1	0	0	0	0.0	0
VOGLIBOSE	8	0	8	-4.492399999999994	5	8	8	10	8	0	1	1	0	1.0	0
TRANDOLAPRIL	2	1	5	2.7733	5	7	7	24	2	1	1	1	0	0.625	0
AMINOGLUTETHIMIDE	2	1	3	1.3531999999999995	1	4	4	13	3	1	0	0	0	0.38461538461538464	0
TAMOXIFEN	0	0	2	5.9961000000000055	0	2	2	26	0	0	0	0	0	0.2307692307692308	0
QUINETHAZONE	3	1	4	0.8788	1	6	8	10	4	1	0	0	0	0.3	0
DESFLURANE	0	0	1	2.0835	1	1	7	3	0	0	0	0	0	1.0	1
ATOVAQUONE	1	0	3	5.505100000000005	0	3	4	22	1	0	2	1	0	0.2727272727272727	0
NIZATIDINE	2	0	8	1.3224999999999998	0	7	9	12	2	1	0	0	0	0.5833333333333334	0
TERBUTALINE_SULFATE	4	0	4	1.5192999999999997	1	4	4	12	4	0	0	0	0	0.5	0
PROGLUMIDE	2	0	3	2.2984	1	6	6	18	2	0	0	0	0	0.5	0
FLUPREDNISOLONE	3	0	5	1.5056	8	5	6	21	3	0	4	3	0	0.7142857142857143	0
ISOXICAM	2	1	6	1.48242	0	8	9	14	2	2	0	0	0	0.14285714285714285	0
BROMPERIDOL	1	1	3	4.534700000000004	0	3	5	21	1	1	0	0	0	0.3809523809523809	1
METHAMPHETAMINE	1	0	1	1.837	1	1	1	10	1	0	0	0	0	0.4	1
FAMCICLOVIR	1	0	9	0.5409999999999998	0	9	9	14	2	2	0	0	0	0.5	0
SAQUINAVIR	5	1	7	3.092400000000004	6	11	11	38	6	2	1	1	0	0.5	0
LEVOCETIRIZINE	1	1	4	3.148200000000002	1	5	6	21	1	1	0	0	0	0.3809523809523809	0
BUTIZIDE	3	1	5	1.0634	1	7	10	11	4	1	0	0	0	0.4545454545454545	0
AMPHETAMINE	1	0	1	1.5763	1	1	1	9	2	0	0	0	0	0.3333333333333333	1
PHENYL_AMINOSALICYLATE	2	0	4	2.1936	0	4	4	13	3	0	0	0	0	0.0	0
DICHLORPHENAMIDE	2	0	4	0.2882000000000006	0	6	10	6	4	0	0	0	0	0.0	0
ISONIAZID	2	0	3	-0.3149000000000006	0	4	4	6	3	1	0	0	0	0.0	0
TRIPELENNAMINE	0	0	3	2.649800000000001	0	3	3	16	0	1	0	0	0	0.3125	1
AMODIAQUINE	2	0	4	5.179200000000004	0	4	5	20	2	1	0	0	0	0.25	0
NITROGLYCERIN	0	0	9	-1.0200999999999996	0	12	12	3	0	0	0	0	0	1.0	0
SALICYLAMIDE	2	0	2	0.4911	0	3	3	7	3	0	0	0	0	0.0	0
HEXOPRENALINE	8	0	8	2.015600000000001	2	8	8	22	8	0	0	0	0	0.4545454545454545	0
AMLODIPINE_BESYLATE	2	1	7	2.2663	1	7	8	20	3	1	0	0	0	0.4	0
ALPRENOLOL	2	0	3	2.1528	1	3	3	15	2	0	0	0	0	0.4666666666666667	0
CARPIPRAMINE	1	3	4	4.119200000000002	0	5	5	28	2	3	0	0	0	0.5357142857142857	1
ASCORBIC	4	1	6	-1.4074	2	6	6	6	4	1	0	0	0	0.5	0
MEDROXYPROGESTERONE	1	0	3	4.084400000000003	7	3	3	22	1	0	4	3	0	0.8181818181818182	0
DEXTROMETHORPHAN	0	1	2	3.3834000000000017	3	2	2	18	0	1	2	1	2	0.6666666666666666	1
ETIZOLAM	0	1	5	4.2040200000000025	0	4	6	17	0	3	0	0	0	0.2352941176470588	1
THYMOXAMINE	0	0	4	2.9841200000000017	0	4	4	16	0	0	0	0	0	0.5625	0
MECLOFENAMATE_SODIUM	2	0	2	4.743620000000003	0	3	5	14	2	0	0	0	0	0.07142857142857142	0
BUSPIRONE	0	2	6	2.088199999999999	0	7	7	21	0	3	1	1	0	0.7142857142857143	1
ZOTEPINE	0	1	3	4.880900000000003	0	2	4	18	0	1	0	0	0	0.2222222222222222	1
BUTORPHANOL	2	1	3	3.365600000000003	3	3	3	21	2	1	3	2	2	0.7142857142857143	1
RALOXIFENE_HYDROCHLORIDE	2	1	6	6.075200000000005	0	5	6	28	2	2	0	0	0	0.25	0
SULFAPYRIDINE	2	0	4	1.4646	0	5	6	11	3	1	0	0	0	0.0	0
DANAZOL	1	0	3	4.2210000000000045	6	3	3	22	1	1	4	3	0	0.6818181818181818	0
LERCANIDIPINE	1	1	8	6.478400000000009	1	9	9	36	1	1	0	0	0	0.3333333333333333	0
RECAINAM	3	0	2	2.8130400000000013	0	4	4	15	3	0	0	0	0	0.5333333333333333	0
FELBINAC	1	0	1	2.980700000000001	0	2	2	14	1	0	0	0	0	0.07142857142857142	0
VINCAMINE	1	3	5	2.952500000000001	3	5	5	21	1	4	0	0	0	0.5714285714285714	0
CHLORAMPHENICOL_PALMITATE	2	0	6	6.941200000000008	2	8	10	27	2	0	0	0	0	0.7037037037037037	0
IRBESARTAN	1	1	5	4.7774000000000045	0	7	7	25	1	2	1	1	0	0.4	0
CEFUROXIME_AXETIL	2	2	12	-0.16829999999999856	3	14	15	20	3	3	0	0	0	0.4	0
ALBENDAZOLE	2	0	4	3.2433000000000005	0	5	6	12	2	1	0	0	0	0.3333333333333333	0
ALCLOFENAC	1	0	2	2.5319000000000007	0	3	4	11	1	0	0	0	0	0.18181818181818185	0
PHENSUXIMIDE	0	1	2	1.1589	1	3	3	11	0	1	0	0	0	0.2727272727272727	1
ANILERIDINE	1	1	4	3.4082000000000017	0	4	4	22	2	1	0	0	0	0.4090909090909091	1
DICYCLOMINE_HYDROCHLORIDE	0	0	3	4.402200000000004	0	3	3	19	0	0	2	2	0	0.9473684210526316	0
FOSAMPRENAVIR	4	1	8	2.5198	3	12	14	25	5	1	0	0	0	0.48	0
BAMIFYLLINE	1	0	8	0.3387000000000002	0	8	8	20	1	2	0	0	0	0.45	0
SULFISOXAZOLE	2	0	5	1.6744400000000002	0	6	7	11	3	1	0	0	0	0.18181818181818185	0
OXYPHENONIUM_BROMIDE	1	0	3	3.484100000000001	1	4	4	21	1	0	1	1	0	0.6666666666666666	0
CISAPRIDE_MONOHYDRATE	2	1	6	3.358100000000001	2	7	9	23	3	1	0	0	0	0.43478260869565216	0
MINOXIDIL	3	1	6	0.17236999999999925	0	6	6	9	4	2	0	0	0	0.5555555555555556	0
MENADIOL	2	0	2	2.5594200000000007	0	2	2	11	2	0	0	0	0	0.09090909090909093	0
STIRIPENTOL	1	1	3	2.835500000000002	1	3	3	14	1	1	0	0	0	0.42857142857142855	1
FLECAINIDE_ACETATE	2	1	4	3.440700000000001	1	5	11	17	2	1	0	0	0	0.5882352941176471	0
PAROXETINE	1	2	4	3.3265000000000016	2	4	5	19	1	2	0	0	0	0.3684210526315789	1
ENPROFYLLINE	2	0	4	-0.17710000000000065	0	6	6	8	2	2	0	0	0	0.375	0
NYSTATIN	12	2	17	0.7783000000000075	18	18	18	47	13	2	0	0	0	0.6808510638297872	0
NITRENDIPINE	1	1	7	2.5657000000000005	1	8	8	18	1	1	0	0	0	0.3333333333333333	0
CARBAZOCHROME	3	1	5	-1.2899999999999994	1	7	7	10	4	1	1	0	0	0.3	0
MELITRACEN	0	0	1	4.709300000000004	0	1	1	21	0	0	1	0	0	0.3333333333333333	1
PRAZOSIN	1	1	8	1.7845999999999995	0	9	9	19	2	3	0	0	0	0.3157894736842105	0
ENALAPRIL	2	1	5	1.6046	3	7	7	20	2	1	0	0	0	0.55	0
SALSALATE	2	0	4	2.309600000000001	0	5	5	14	2	0	0	0	0	0.0	0
PRALIDOXIME_CHLORIDE	1	0	2	0.3191999999999999	0	3	3	7	1	1	0	0	0	0.14285714285714285	0
METHOCARBAMOL	2	0	5	0.5301999999999998	1	6	6	11	3	0	0	0	0	0.3636363636363637	1
OSELTAMIVIR_PHOSPHATE	2	0	5	1.2853999999999997	3	6	6	16	3	0	1	0	0	0.75	0
AMINOPHYLLINE	1	0	5	-1.0397000000000003	0	6	6	7	1	2	0	0	0	0.2857142857142857	1
CARBENOXOLONE	2	0	5	6.8283000000000085	9	7	7	34	2	0	5	4	0	0.8235294117647058	0
DEXRAZOXANE	2	2	6	-2.708299999999996	1	8	8	11	2	2	0	0	0	0.6363636363636364	0
METHACYCLINE_HYDROCHLORIDE	6	0	9	-0.4378999999999992	5	10	10	22	7	0	3	0	0	0.3181818181818182	0
INDOMETHACIN	1	0	4	3.9273200000000026	0	5	6	19	1	1	0	0	0	0.15789473684210525	0
BOSENTAN	2	0	10	4.203900000000004	0	11	12	27	2	2	0	0	0	0.25925925925925924	0
PROPICILLIN	2	2	5	1.4756999999999998	4	7	8	18	2	2	0	0	0	0.5	0
MIGLITOL	5	1	6	-3.262099999999999	4	6	6	8	5	1	0	0	0	1.0	0
BENZTHIAZIDE	2	1	6	2.2427	0	7	11	15	3	1	0	0	0	0.13333333333333333	0
PRAMIPEXOLE	2	0	4	1.5822	1	3	4	10	3	1	1	0	0	0.7	1
VALSARTAN	2	0	5	4.1617000000000015	1	8	8	24	2	1	0	0	0	0.375	0
MENADIOL_SODIUM_DIPHOSPHATE	0	0	4	2.998820000000001	0	4	4	15	0	0	0	0	0	0.2	0
CLOBUTINOL	1	0	2	2.8312000000000013	2	2	3	14	1	0	0	0	0	0.5714285714285714	0
CLOPIDOGREL_BISULFATE	0	1	4	3.6739000000000015	1	3	5	16	0	2	0	0	0	0.3125	0
ROXITHROMYCIN	5	3	17	2.2096000000000084	18	17	17	41	5	3	0	0	0	0.9512195121951221	0
INDELOXAZINE	1	1	3	1.6230999999999998	1	3	3	14	1	1	1	0	0	0.42857142857142855	1
GLYCERIN	3	0	3	-1.6681	0	3	3	3	3	0	0	0	0	1.0	0
CHLORAZEPATE	2	1	3	2.5827	1	5	6	16	2	1	0	0	0	0.0625	1
SORIVUDINE	4	1	7	-1.4863000000000006	4	8	9	11	4	2	0	0	0	0.4545454545454545	0
CANDESARTAN	1	2	6	2.0796	1	6	6	20	1	4	0	0	0	0.25	0
NALBUPHINE	3	2	5	1.7073000000000005	5	5	5	21	3	2	3	2	2	0.7142857142857143	1
TOPIRAMATE	1	3	8	-0.3953999999999982	4	9	10	12	2	3	0	0	0	1.0	1
CHLORPHENESIN	2	0	3	1.0719999999999998	1	3	4	9	2	0	0	0	0	0.3333333333333333	1
PENTAERYTHRITOL	0	0	12	-1.1939999999999995	0	16	16	5	0	0	0	0	0	1.0	0
TROPISETRON	1	2	3	2.9499000000000013	2	4	4	17	1	3	0	0	2	0.4705882352941176	1
HYDROCORTISONE_CYPIONATE	2	0	6	4.302900000000005	7	6	6	29	2	0	5	4	0	0.8275862068965517	0
SULPIRIDE	2	1	5	0.5567000000000012	1	7	8	15	3	1	0	0	0	0.5333333333333333	1
NIFURTIMOX	0	1	7	0.6406000000000001	1	8	9	10	0	2	0	0	0	0.5	0
SULFACYTINE	2	0	6	0.6461999999999999	0	7	8	12	3	1	0	0	0	0.16666666666666666	0
DAPSONE	2	0	4	1.6838000000000002	0	4	5	12	4	0	0	0	0	0.0	0
RIBAVIRIN	4	1	8	-3.0114999999999994	4	9	9	8	5	2	0	0	0	0.625	0
ETRETINATE	0	0	3	5.645560000000009	0	3	3	23	0	0	0	0	0	0.3478260869565217	0
DICUMAROL	2	0	6	2.9014000000000006	0	6	6	19	2	2	0	0	0	0.05263157894736842	0
BROMFENAC	2	0	3	2.889400000000001	0	4	5	15	3	0	0	0	0	0.06666666666666668	0
ACETYLCYSTEINE	3	0	3	-0.4945	1	4	5	5	2	0	0	0	0	0.6	0
ABACAVIR_SULFATE	3	0	7	1.0922999999999998	2	7	7	14	4	2	2	1	0	0.5	0
DEXAMETHASONE	3	0	5	1.8957	8	5	6	22	3	0	4	3	0	0.7272727272727273	1
DOXEPIN	0	1	2	3.9624000000000033	0	2	2	19	0	1	0	0	0	0.2631578947368421	1
LACIDIPINE	1	1	7	4.402500000000004	0	7	7	26	1	1	0	0	0	0.4230769230769231	0
CLOFIBRATE	0	0	3	3.060500000000001	0	3	4	12	0	0	0	0	0	0.4166666666666667	0
STAVUDINE	2	1	5	-0.7090799999999999	2	6	6	10	2	2	0	0	0	0.4	0
PIPERAZINE_CITRATE	2	1	2	-0.8208	0	2	2	4	2	1	0	0	0	1.0	0
VITAMIN_A_PALMITATE	0	0	2	11.542499999999983	0	2	2	36	0	0	1	0	0	0.6944444444444444	0
PHENOXYBENZAMINE_HYDROCHLORIDE	0	0	2	4.194900000000003	1	2	3	18	0	0	0	0	0	0.3333333333333333	0
MELPERONE	0	1	2	3.520500000000003	0	2	3	16	0	1	0	0	0	0.5625	1
ALFENTANIL	0	1	8	1.3839000000000006	0	9	9	21	0	2	0	0	0	0.6190476190476191	1
CLENBUTEROL	3	0	3	2.9971000000000005	1	3	5	12	4	0	0	0	0	0.5	0
RILUZOLE	1	0	4	2.7771	0	3	7	8	2	1	0	0	0	0.125	0
PHENINDAMINE	0	1	1	3.9212000000000033	1	1	1	19	0	1	1	0	0	0.2631578947368421	1
ETHIONAMIDE	1	0	2	1.2782	0	2	3	8	2	1	0	0	0	0.25	0
ETHOPROPAZINE	0	1	3	5.019600000000005	1	2	3	19	0	1	0	0	0	0.3684210526315789	1
BENZONATATE	1	0	12	2.8346000000000027	0	12	12	30	1	0	0	0	0	0.7666666666666667	0
DIPIPANONE	0	1	2	5.216300000000006	1	2	2	24	0	1	0	0	0	0.4583333333333333	1
BROMHEXINE	1	0	2	4.5583000000000045	0	2	4	14	2	0	1	1	0	0.5714285714285714	0
METHAZOLAMIDE	1	0	6	-1.4237999999999986	0	7	9	5	2	1	0	0	0	0.4	0
PHENYLBUTAZONE	0	1	2	3.7878000000000025	0	4	4	19	0	1	0	0	0	0.2631578947368421	0
ACECAINIDE	2	0	3	1.7165999999999997	0	5	5	15	2	0	0	0	0	0.4666666666666667	0
BUSULFAN	0	0	6	-0.2809999999999997	0	6	8	6	0	0	0	0	0	1.0	0
QUINACRINE	1	0	4	5.972400000000006	1	4	5	23	1	1	0	0	0	0.43478260869565216	0
ACETOPHENAZINE	1	2	6	3.4919000000000024	0	5	6	23	1	2	0	0	0	0.43478260869565216	1
SEMATILIDE	2	0	4	1.1297	0	6	7	14	2	0	0	0	0	0.5	0
FOSFOMYCIN_TROMETHAMINE	2	1	2	-0.09110000000000007	2	4	5	3	2	1	0	0	0	1.0	0
PYRIDOSTIGMINE_BROMIDE	0	0	2	0.5714999999999999	0	4	4	9	0	1	0	0	0	0.3333333333333333	0
THIAMPHENICOL	3	0	5	0.40430000000000027	2	6	9	12	3	0	0	0	0	0.4166666666666667	0
TRAMADOL	1	0	3	2.6346000000000007	2	3	3	16	1	0	1	1	0	0.625	1
QUAZEPAM	0	1	2	5.026200000000002	0	2	8	17	0	1	0	0	0	0.17647058823529413	1
ITRACONAZOLE	0	2	12	5.5773000000000055	3	12	14	35	0	4	0	0	0	0.3714285714285713	0
METAXALONE	1	1	3	1.7906399999999996	1	4	4	12	1	1	0	0	0	0.4166666666666667	1
SULTAMICILLIN	2	4	11	-0.5885999999999969	6	13	15	25	3	4	0	0	0	0.56	0
TRIMIPRAMINE	0	1	2	4.121000000000003	1	2	2	20	0	1	0	0	0	0.4	1
LEVAMISOLE_HYDROCHLORIDE	0	2	3	2.1461	1	2	3	11	0	2	0	0	0	0.3636363636363637	0
CANDESARTAN_CILEXETIL	1	0	11	6.319100000000009	1	12	12	33	1	2	1	1	0	0.3333333333333333	0
ALMOTRIPTAN	1	1	3	2.1976000000000004	0	5	6	17	1	2	0	0	0	0.5294117647058824	1
ATENOLOL	3	0	4	0.4521000000000001	1	5	5	14	4	0	0	0	0	0.5	0
BETHANECHOL_CHLORIDE	1	0	2	0.17640000000000045	1	4	4	7	2	0	0	0	0	0.8571428571428571	0
BENZNIDAZOLE	1	0	5	1.1076999999999997	0	7	7	12	1	1	0	0	0	0.16666666666666666	0
TILIDINE	0	0	3	2.7677000000000014	2	3	3	17	0	0	1	0	0	0.4705882352941176	1
NEFAZODONE	0	1	7	3.5519000000000016	0	7	8	25	0	2	0	0	0	0.44	1
INDAPAMIDE	2	1	4	2.0834	1	6	8	16	3	1	0	0	0	0.1875	0
OXYPHENCYCLIMINE_HYDROCHLORIDE	1	1	5	2.7317000000000013	1	5	5	20	1	1	1	1	0	0.6	0
CHLORAMPHENICOL	3	0	5	0.909	2	7	9	11	3	0	0	0	0	0.3636363636363637	0
TOLOXATONE	1	1	3	1.3125199999999997	1	4	4	11	1	1	0	0	0	0.3636363636363637	1
FLEROXACIN	1	1	5	1.6992	0	6	9	17	1	2	0	0	0	0.4117647058823529	0
DYPHYLLINE	2	0	8	-2.2130999999999985	1	8	8	10	2	2	0	0	0	0.5	0
VIGABATRIN	2	0	2	0.3645000000000001	1	3	3	6	3	0	0	0	0	0.5	1
GLYBURIDE	3	0	5	3.641700000000002	0	8	10	23	3	0	1	1	0	0.39130434782608703	0
CYCLOBENZAPRINE_HYDROCHLORIDE	0	0	1	2.6446000000000014	0	1	1	20	0	0	1	0	0	0.2	0
COCAINE	0	2	5	1.8677	4	5	5	17	0	2	0	0	2	0.5294117647058824	1
CINNARIZINE	0	1	2	5.1070000000000055	0	2	2	26	0	1	0	0	0	0.2307692307692308	1
CEPHALEXIN	3	2	5	0.44489999999999896	3	7	8	16	4	2	0	0	0	0.3125	0
ORPHENADRINE	0	0	2	3.6626200000000018	1	2	2	18	0	0	0	0	0	0.3333333333333333	1
DIDANOSINE	2	1	6	-0.21050000000000008	2	7	7	10	2	3	0	0	0	0.5	0
OPIPRAMOL	1	2	4	3.3085000000000027	0	4	4	23	1	2	0	0	0	0.39130434782608703	1
THALIDOMIDE	1	2	4	0.08779999999999992	1	6	6	13	1	2	0	0	0	0.2307692307692308	1
ZOLPIDEM	0	0	3	3.2488400000000013	0	4	4	19	0	2	0	0	0	0.2631578947368421	1
PERINDOPRIL_ERBUMINE	2	1	5	1.9406	5	7	7	19	2	1	1	1	0	0.8421052631578947	0
NITISINONE	0	0	5	2.7346000000000013	0	6	9	14	0	0	1	1	0	0.35714285714285715	0
CHLORMEZANONE	0	1	3	1.6154999999999995	1	4	6	11	0	1	0	0	0	0.3636363636363637	1
ARIPIPRAZOLE	1	2	4	4.859300000000005	0	5	7	23	1	2	0	0	0	0.43478260869565216	1
BENOXAPROFEN	1	0	3	4.336300000000001	1	4	5	16	1	1	0	0	0	0.125	0
BENZTROPINE	0	2	2	4.417800000000004	2	2	2	21	0	2	0	0	2	0.42857142857142855	1
AMPRENAVIR	3	1	7	2.4028	3	9	10	25	4	1	0	0	0	0.48	0
MORPHINE	2	2	4	1.1980999999999995	5	4	4	17	2	2	2	0	2	0.5294117647058824	1
RIVASTIGMINE	0	0	3	2.7597000000000014	1	4	4	14	0	0	0	0	0	0.5	1
LISINOPRIL	4	1	5	1.2352000000000007	3	8	8	21	5	1	0	0	0	0.5714285714285714	0
PROMAZINE	0	1	3	4.241000000000003	0	2	3	17	0	1	0	0	0	0.29411764705882354	1
ZOMEPIRAC	1	0	3	2.8450200000000017	0	4	5	15	1	1	0	0	0	0.2	0
CLOMIPRAMINE	0	1	2	4.528400000000004	0	2	3	19	0	1	0	0	0	0.3684210526315789	1
MYCOPHENOLATE	2	1	5	2.73322	0	6	6	17	2	1	0	0	0	0.4117647058823529	0
TOLMETIN_SODIUM	1	0	3	2.1916199999999995	0	4	4	15	1	1	0	0	0	0.2	0
MODAFINIL	1	0	2	2.01	1	3	4	15	2	0	0	0	0	0.13333333333333333	1
METHIMAZOLE	1	0	2	1.08269	0	2	3	4	1	1	0	0	0	0.25	0
LOFEPRAMINE	0	1	3	5.781500000000006	0	3	4	26	0	1	0	0	0	0.2692307692307692	1
INDECAINIDE_HYDROCHLORIDE	2	0	2	3.216600000000001	0	3	3	20	3	0	1	0	0	0.35	0
NITRAZEPAM	1	1	4	2.3843	0	6	6	15	1	1	0	0	0	0.06666666666666668	1
ENCAINIDE	1	1	3	4.536900000000005	1	4	4	22	1	1	0	0	0	0.4090909090909091	0
CEFPROZIL	4	2	6	0.7066999999999994	3	8	9	18	5	2	0	0	0	0.2777777777777778	0
FLUORESCEIN	2	2	5	3.6658000000000026	0	5	5	20	2	2	0	0	0	0.05	0
ANIRACETAM	0	1	3	1.4578	0	4	4	12	0	1	0	0	0	0.3333333333333333	1
HALOPERIDOL	1	1	3	4.425600000000005	0	3	5	21	1	1	0	0	0	0.3809523809523809	1
