m_name	n_atoms_without_Hydrogen	n_atoms_with_Hydrogen	m_weight	m_avg_weigth	m_weigth_without_Hydrogen	n_valence_electrons	n_aliphatic_carbocycles	n_aliphatic_heterocycles	n_aliphatic_rings	n_amide_bonds	n_aromatic_carbocycles	n_aromatic_heterocycles	n_aromatic_rings	n_saturated_carbocycles	n_saturated_heterocycles	n_saturated_rings	n_HBA	n_HBD	n_hetero_atoms	n_hetero_cycles	n_rings	n_strict_rotable_bonds	n_non_strict_rotable_bonds	n_primary_carbon_atoms	n_HOH	n_O	n_briged_head_atoms	n_atoms_stereo_centers	n_atoms_unspecified_stereo_centers	n_spiro_atoms	m_logp	m_mr	fraction_CSP3
AMPRENAVIR	35	70	505.22465683999997	470.3570000000003	505.63700000000034	192	0	1	1	1	2	0	2	0	1	1	7	3	10	1	3	11	13	25	4	9	0	3	3	0	2.4028	133.23270000000002	0.48
AMTOLMETIN	31	55	420.16852186799997	396.2730000000002	420.46500000000015	160	0	0	0	1	2	1	3	0	0	0	6	1	7	1	3	8	10	24	1	7	0	0	0	0	2.8374200000000016	115.36720000000003	0.20833333333333334
ANAGRELIDE_HYDROCHLORIDE	16	23	254.996617204	249.03599999999997	256.092	82	0	2	2	1	1	0	1	0	1	1	3	1	6	2	3	0	0	10	1	4	0	0	0	0	1.9263	62.10970000000001	0.2
ANASTROZOLE	22	41	293.16404560800004	274.222	293.374	112	0	0	0	0	1	1	2	0	0	0	5	0	5	1	2	4	4	17	0	5	0	0	0	0	2.9287600000000014	82.84400000000004	0.4117647058823529
ANISINDIONE	19	31	252.078644244	240.17299999999994	252.26899999999998	94	1	0	1	0	2	0	2	0	0	0	3	0	3	0	3	2	2	16	0	3	0	0	0	0	2.8580000000000005	70.83800000000002	0.125
ANISOTROPINE	20	52	282.24275568409	250.19199999999995	282.448	116	0	2	2	0	0	0	0	0	2	2	2	0	3	2	2	6	7	17	0	3	2	2	2	0	3.5158000000000023	81.33840000000006	0.9411764705882353
ANTAZOLINE	20	39	265.157897608	246.20799999999994	265.35999999999996	102	0	1	1	0	2	0	2	0	0	0	3	1	3	1	3	5	5	17	1	3	0	0	0	0	2.6949000000000005	84.23870000000005	0.23529411764705882
ARBIDOL	29	54	476.07692576	452.22400000000016	477.4240000000002	154	0	0	0	0	2	1	3	0	0	0	6	1	7	1	3	7	8	22	1	5	0	0	0	0	5.177000000000005	121.63430000000007	0.3181818181818182
ASCORBIC	12	20	176.032087976	168.05999999999997	176.124	68	0	1	1	0	0	0	0	0	0	0	6	4	6	1	1	2	2	6	4	6	0	2	2	0	-1.4074	35.25619999999999	0.5
ASPARTAME	21	39	294.121571676	276.163	294.307	114	0	0	0	1	1	0	1	0	0	0	5	3	7	0	1	7	9	14	4	7	0	2	2	0	-0.31109999999999954	74.32090000000002	0.35714285714285715
ASTEMIZOLE	34	65	458.24818983200004	427.33300000000025	458.58100000000013	176	0	1	1	0	3	1	4	0	1	1	5	1	6	2	5	8	8	28	1	5	0	0	0	0	5.351300000000005	135.01769999999996	0.32142857142857145
ATAZANAVIR	51	103	704.3897480040001	652.4530000000001	704.869	276	0	0	0	4	2	1	3	0	0	0	9	5	13	1	3	14	22	38	5	13	0	4	4	0	4.2116000000000025	193.87659999999937	0.4473684210526316
ATENOLOL	19	41	266.163042564	244.16499999999996	266.34099999999995	106	0	0	0	1	1	0	1	0	0	0	4	3	5	0	1	8	8	14	4	5	0	1	1	0	0.45210000000000006	73.98090000000003	0.5
ATORVASTATIN_CALCIUM	41	76	558.2530004399999	523.3700000000003	558.6500000000003	214	0	0	0	1	3	1	4	0	0	0	5	4	8	1	4	12	13	33	4	7	0	2	2	0	6.313600000000008	157.24659999999975	0.2727272727272727
ATOVAQUONE	26	45	366.102272148	347.6920000000001	366.84400000000016	132	2	0	2	0	2	0	2	1	0	1	3	1	4	0	4	2	2	22	1	3	0	0	0	0	5.505100000000005	100.90880000000004	0.2727272727272727
AZACITIDINE	17	29	244.080769484	232.11099999999996	244.207	94	0	1	1	0	0	1	1	0	1	1	9	4	9	2	2	2	2	8	5	9	0	4	4	0	-3.167999999999999	53.71380000000002	0.625
AZANIDAZOLE	18	28	246.08652356	236.14999999999998	246.23	92	0	0	0	0	0	2	2	0	0	0	7	1	8	2	2	3	3	10	2	8	0	0	0	0	0.8708999999999998	65.2348	0.1
AZARIBINE	26	43	371.09647912400004	354.16600000000005	371.3020000000001	142	0	1	1	0	0	1	1	0	1	1	11	1	12	2	2	5	8	14	1	12	0	4	4	0	-1.744499999999998	80.76870000000001	0.5714285714285714
AZATHIOPRINE	19	26	277.038193464	270.213	277.26900000000006	96	0	0	0	0	0	3	3	0	0	0	8	1	10	3	3	3	3	9	1	9	0	0	0	0	1.1457999999999997	65.6691	0.1111111111111111
AZITHROMYCIN_DIHYDRATE	52	124	748.5085257439999	676.4200000000001	748.996	306	0	3	3	0	0	0	0	0	3	3	14	5	14	3	3	7	7	38	5	14	0	18	18	0	1.9007000000000054	194.1789999999994	0.9736842105263158
BACAMPICILLIN_HYDROCHLORIDE	32	59	465.15697120400006	438.3120000000003	465.5280000000002	174	0	2	2	2	1	0	1	0	2	2	9	2	11	2	3	7	11	21	3	10	0	5	5	0	1.2958000000000005	115.05410000000002	0.5238095238095238
BALSALAZIDE	26	41	357.09608519999995	342.2020000000001	357.3220000000001	134	0	0	0	1	2	0	2	0	0	0	6	4	9	0	2	7	8	17	4	9	0	0	0	0	2.7103	90.27010000000006	0.11764705882352941
BAMIFYLLINE	28	55	385.211389724	358.2520000000001	385.4680000000002	150	0	0	0	0	1	2	3	0	0	0	8	1	8	2	3	8	8	20	1	8	0	0	0	0	0.3387000000000002	108.66280000000008	0.45
BEFUNOLOL	21	42	291.147058152	270.179	291.34700000000004	114	0	0	0	0	1	1	2	0	0	0	5	2	5	1	2	7	7	16	2	5	0	1	1	0	2.3731	80.85900000000004	0.4375
BEMETIZIDE	25	41	401.02707567199997	385.7690000000002	401.8970000000001	134	0	1	1	0	2	0	2	0	0	0	5	3	10	1	3	3	3	15	4	7	0	2	2	0	1.821	95.4144	0.2
BENAZEPRIL	31	59	424.19982199599997	396.2730000000002	424.49700000000024	164	0	1	1	1	2	0	2	0	0	0	5	2	7	1	3	9	10	24	2	7	0	2	2	0	2.5731	116.8595000000001	0.375
BENDROFLUMETHIAZIDE	27	41	421.03778258799997	407.31000000000006	421.4220000000001	146	0	1	1	0	2	0	2	0	0	0	5	3	12	1	3	3	4	15	4	7	0	1	1	0	1.6254	90.69540000000003	0.2
BENFLUOREX	25	45	351.14461353999997	331.2080000000001	351.368	134	0	0	0	0	2	0	2	0	0	0	3	1	6	0	2	7	9	19	1	3	0	1	1	0	4.083000000000003	89.33720000000004	0.3157894736842105
BENORILATE	23	38	313.09502258000003	298.189	313.309	118	0	0	0	1	2	0	2	0	0	0	5	1	6	0	2	4	7	17	1	6	0	0	0	0	2.789500000000001	83.45520000000003	0.11764705882352941
BENOXAPROFEN	21	33	301.050570924	289.63300000000004	301.729	106	0	0	0	0	2	1	3	0	0	0	3	1	5	1	3	3	3	16	1	4	0	1	1	0	4.336300000000002	80.50580000000005	0.125
BENTIROMIDE	30	50	404.13722174	384.26200000000017	404.4220000000001	152	0	0	0	2	3	0	3	0	0	0	4	4	7	0	3	7	9	23	4	7	0	1	1	0	3.0702000000000016	111.538	0.08695652173913043
BENZBROMARONE	22	34	421.9153184439999	411.992	424.088	112	0	0	0	0	2	1	3	0	0	0	3	1	5	1	3	3	3	17	1	3	0	0	0	0	5.456800000000003	92.53130000000002	0.11764705882352941
BENZNIDAZOLE	19	31	260.090940244	248.15699999999998	260.253	98	0	0	0	1	1	1	2	0	0	0	5	1	7	1	2	5	6	12	1	7	0	0	0	0	1.1076999999999995	67.17010000000003	0.16666666666666666
BENZOCAINE	12	23	165.078978592	154.10399999999996	165.19199999999998	64	0	0	0	0	1	0	1	0	0	0	3	1	3	0	1	2	3	9	2	3	0	0	0	0	1.4455	46.81090000000002	0.2222222222222222
BENZONATATE	42	95	603.3618615159999	550.3260000000004	603.7500000000003	244	0	0	0	0	1	0	1	0	0	0	12	1	12	0	1	32	33	30	1	12	0	0	0	0	2.8346000000000027	158.55019999999968	0.7666666666666667
BENZTHIAZIDE	26	40	430.98349660799994	417.8360000000002	431.9480000000001	138	0	1	1	0	2	0	2	0	0	0	6	2	11	1	3	5	5	15	3	7	0	0	0	0	2.2427	102.8457	0.13333333333333333
BEPOTASTINE	27	52	388.15537034000005	363.69500000000016	388.8950000000001	144	0	1	1	0	1	1	2	0	1	1	4	1	6	2	3	8	8	21	1	5	0	1	1	0	4.170200000000004	104.94880000000005	0.42857142857142855
BEPRIDIL	27	61	366.267113708	332.2770000000001	366.5490000000002	146	0	1	1	0	2	0	2	0	1	1	3	0	3	1	3	10	10	24	0	3	0	1	1	0	4.830200000000005	114.18600000000008	0.5
BETA-CAROTENE	40	96	536.438201792	480.4400000000004	536.8880000000004	216	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	10	10	40	0	0	0	0	0	0	12.605799999999977	181.39199999999946	0.45
BETAXOLOL_HYDROCHLORIDE	22	51	307.214743788	278.202	307.434	124	1	0	1	0	1	0	1	1	0	1	4	2	4	0	2	11	11	18	2	4	0	1	1	0	2.3933999999999997	88.32950000000005	0.6666666666666666
BETHANECHOL_CHLORIDE	11	28	161.12845420409	144.089	161.22499999999997	66	0	0	0	1	0	0	0	0	0	0	2	1	4	0	0	3	4	7	2	4	0	1	1	0	0.17640000000000045	43.0298	0.8571428571428571
BETHANIDINE_SULFATE	13	28	177.12659748	162.13099999999997	177.251	70	0	0	0	0	1	0	1	0	0	0	1	2	3	0	1	2	4	10	2	3	0	0	0	0	0.9813999999999995	55.70040000000003	0.3
BEVANTOLOL	25	52	345.194008344	318.22300000000007	345.43900000000014	136	0	0	0	0	2	0	2	0	0	0	5	2	5	0	2	10	10	20	2	5	0	1	1	0	2.584220000000001	98.80050000000006	0.4
BEXAROTENE	26	54	348.208930136	320.26200000000006	348.4860000000002	136	1	0	1	0	2	0	2	0	0	0	1	1	2	0	3	3	3	24	1	2	0	0	0	0	6.103720000000006	108.00230000000006	0.375
BEZAFIBRATE	25	45	361.1080857999999	341.66500000000013	361.82500000000005	132	0	0	0	1	2	0	2	0	0	0	3	2	6	0	2	7	8	19	2	5	0	0	0	0	3.554500000000001	96.27400000000006	0.2631578947368421
BICALUTAMIDE	29	43	430.06104080800003	416.2670000000001	430.3790000000001	154	0	0	0	1	2	0	2	0	0	0	5	2	11	0	2	5	7	18	2	6	0	1	1	0	2.8795800000000016	93.86530000000003	0.2222222222222222
BISACODYL	27	46	361.13140808800006	342.2450000000001	361.39700000000005	136	0	0	0	0	2	1	3	0	0	0	5	0	5	1	3	5	7	22	0	5	0	0	0	0	4.112400000000003	100.68400000000003	0.13636363636363635
BISOPROLOL_FUMARATE	23	54	325.225308472	294.201	325.449	132	0	0	0	0	1	0	1	0	0	0	5	2	5	0	1	12	12	18	2	5	0	1	1	0	2.3659	91.82650000000007	0.6666666666666666
BITHIONOL	19	25	353.88426115199997	350.00900000000007	356.057	100	0	0	0	0	2	0	2	0	0	0	3	2	7	0	2	2	2	12	2	2	0	0	0	0	5.862600000000001	80.37660000000001	0.0
BOSENTAN	39	68	551.1838546480001	522.3930000000004	551.6250000000003	204	0	0	0	0	2	2	4	0	0	0	10	2	12	2	4	10	11	27	2	11	0	0	0	0	4.2039000000000035	144.65729999999982	0.25925925925925924
BREQUINAR	28	43	375.10708516000005	360.25400000000013	375.374	138	0	0	0	0	3	1	4	0	0	0	2	1	5	1	4	3	3	23	1	3	0	0	0	0	5.853620000000004	104.22730000000001	0.043478260869565216
BRIVUDINE	19	32	332.000783616	320.03400000000005	333.13800000000003	104	0	1	1	0	0	1	1	0	1	1	6	3	8	2	2	3	3	11	3	7	0	3	3	0	-0.4571	70.9033	0.45454545454545453
BROMFENAC	20	32	333.000055344	322.073	334.169	102	0	0	0	0	2	0	2	0	0	0	3	2	5	0	2	4	4	15	3	4	0	0	0	0	2.889400000000001	79.76870000000002	0.06666666666666667
BROMHEXINE	18	38	373.99932284000005	355.9760000000001	376.13600000000025	100	1	0	1	0	1	0	1	1	0	1	2	1	4	0	2	3	3	14	2	2	0	0	0	0	4.558300000000004	84.59440000000004	0.5714285714285714
BROXATEROL	14	29	262.03168982	248.015	263.135	80	0	0	0	0	0	1	1	0	0	0	4	2	5	1	1	3	4	9	2	4	0	1	1	0	1.8585999999999998	56.91850000000003	0.6666666666666666
BUDESONIDE	31	65	430.2355388079999	396.2690000000002	430.5410000000002	170	4	1	5	0	0	0	0	3	1	4	6	2	6	1	5	4	4	25	2	6	0	9	9	0	2.7168000000000014	112.86660000000005	0.76
BUMETANIDE	25	45	364.10929273999994	344.2630000000001	364.4230000000001	134	0	0	0	0	2	0	2	0	0	0	5	3	8	0	2	8	8	17	4	7	0	0	0	0	3.0365	94.68820000000007	0.23529411764705882
BUNAZOSIN	27	54	373.211389724	346.2410000000001	373.4570000000001	146	0	1	1	1	1	1	2	0	1	1	7	1	8	2	3	5	6	19	2	8	0	0	0	0	2.0679999999999996	105.37240000000004	0.5263157894736842
BUSULFAN	14	28	246.023180168	232.194	246.30599999999998	86	0	0	0	0	0	0	0	0	0	0	6	0	8	0	0	7	7	6	0	6	0	0	0	0	-0.2809999999999997	50.82560000000003	1.0
BUTIZIDE	21	37	353.02707567199997	337.725	353.85300000000007	118	0	1	1	0	1	0	1	0	0	0	5	3	10	1	2	3	3	11	4	7	0	1	1	0	1.0634000000000001	80.01240000000003	0.45454545454545453
CALCITRIOL	30	74	416.32904526799996	372.29400000000015	416.6460000000003	170	3	0	3	0	0	0	0	3	0	3	3	3	3	0	3	6	6	27	3	3	0	6	6	0	5.704700000000008	124.03840000000007	0.7777777777777778
CALUSTERONE	23	55	316.240230264	284.229	316.485	128	4	0	4	0	0	0	0	3	0	3	2	1	2	0	4	0	0	21	1	2	0	7	7	0	4.515300000000005	91.88080000000006	0.8571428571428571
CANDESARTAN	26	42	348.111006992	332.2300000000001	348.35800000000006	130	0	2	2	0	1	2	3	0	0	0	6	1	6	4	5	1	1	20	1	6	0	1	1	0	2.0796	94.52480000000004	0.25
CANDESARTAN_CILEXETIL	45	79	610.253982808	576.3990000000002	610.6710000000002	232	1	0	1	0	3	2	5	1	0	1	11	1	12	2	6	10	13	33	1	12	0	1	1	0	6.319100000000007	164.37019999999956	0.3333333333333333
CAPECITABINE	25	47	359.1492636439999	337.1780000000001	359.35400000000004	140	0	1	1	1	0	1	1	0	1	1	8	3	10	2	2	6	8	15	3	9	0	4	4	0	0.7602	84.54830000000003	0.6666666666666666
CAPTOPRIL	14	29	217.07726434	202.16999999999996	217.28999999999996	80	0	1	1	1	0	0	0	0	1	1	3	2	5	1	1	3	4	9	1	4	0	2	2	0	0.6279000000000001	55.38780000000003	0.7777777777777778
CARBAZOCHROME	17	29	236.090940244	224.13499999999996	236.23099999999997	90	1	1	2	2	0	0	0	0	1	1	5	3	7	1	2	1	2	10	4	7	0	1	1	0	-1.2899999999999994	59.96390000000001	0.3
CARBENICILLIN_INDANYL_SODIUM	35	61	494.1511575519999	468.36100000000033	494.5690000000003	182	1	2	3	2	2	0	2	0	2	2	6	2	9	2	5	6	8	26	2	8	0	4	4	0	2.4962	128.94350000000003	0.38461538461538464
CARBENOXOLONE	41	91	570.3556539399999	520.3670000000004	570.7670000000005	228	5	0	5	0	0	0	0	4	0	4	5	2	7	0	5	5	6	34	2	7	0	9	9	0	6.828300000000007	153.8145999999998	0.8235294117647058
CARBETAPENTANE	24	55	333.230393852	302.224	333.472	134	1	0	1	0	1	0	1	1	0	1	4	0	4	0	2	10	11	20	0	4	0	0	0	0	3.400000000000002	96.15400000000007	0.65
CARBIDOPA	16	30	226.095356928	212.11999999999998	226.232	88	0	0	0	0	1	0	1	0	0	0	5	5	6	0	1	4	4	10	6	6	0	1	1	0	-0.05310000000000015	56.839500000000015	0.3
CARBIMAZOLE	12	22	186.04629856	176.156	186.236	66	0	0	0	0	0	1	1	0	0	0	5	0	5	1	1	1	3	7	0	4	0	0	0	0	1.56069	46.65700000000002	0.42857142857142855
CARBOCYSTEINE	11	20	179.025228768	170.12499999999997	179.197	64	0	0	0	0	0	0	0	0	0	0	4	3	6	0	0	5	5	5	4	5	0	1	1	0	-0.7838999999999998	40.57200000000001	0.6
CARTEOLOL_HYDROCHLORIDE	21	45	292.178692628	268.187	292.3790000000001	116	0	1	1	1	1	0	1	0	0	0	4	3	5	1	2	5	6	16	3	5	0	1	1	0	1.6990999999999998	82.65020000000003	0.5625
CARVEDILOL	30	56	406.189257312	380.27400000000017	406.482	156	0	0	0	0	3	1	4	0	0	0	5	3	6	1	4	10	10	24	3	6	0	1	1	0	3.738000000000002	118.66520000000004	0.25
CEFACLOR	24	38	367.039354608	353.7020000000001	367.814	126	0	2	2	2	1	0	1	0	1	1	5	3	9	2	3	4	5	15	4	7	0	3	3	0	0.6213000000000004	88.9079	0.26666666666666666
CEFDINIR	26	39	395.03581051599997	382.3180000000002	395.4220000000002	136	0	2	2	2	0	1	1	0	1	1	9	4	12	3	3	5	6	14	5	10	0	2	2	0	-0.17180000000000062	94.73140000000004	0.21428571428571427
CEFDITOREN	33	51	506.05008067600005	488.44700000000023	506.5910000000001	172	0	2	2	2	0	2	2	0	1	1	11	3	14	4	4	7	8	19	4	11	0	2	2	0	1.2927199999999996	125.6419	0.2631578947368421
CEFDITOREN_PIVOXIL	41	69	620.118160236	592.5110000000002	620.735	218	0	2	2	2	0	2	2	0	1	1	14	2	16	4	4	9	13	25	3	13	0	2	2	0	2.298119999999999	154.51209999999975	0.4
CEFETAMET	26	41	397.0514605800001	382.3180000000001	397.43800000000005	138	0	2	2	2	0	1	1	0	1	1	9	3	12	3	3	5	6	14	4	10	0	2	2	0	-0.16569999999999918	95.43090000000001	0.35714285714285715
CEFIXIME	30	45	453.04128982000003	438.33800000000025	453.4580000000002	158	0	2	2	2	0	1	1	0	1	1	10	4	14	3	3	8	9	16	5	12	0	2	2	0	-0.5447999999999993	106.53270000000006	0.25
CEFPODOXIME	28	45	427.06202526400006	410.32800000000015	427.46400000000017	150	0	2	2	2	0	1	1	0	1	1	10	3	13	3	3	7	8	15	4	11	0	2	2	0	-0.5391999999999986	101.63290000000003	0.4
CEFPROZIL	27	46	389.1045417079999	370.2810000000002	389.4330000000001	142	0	2	2	2	1	0	1	0	1	1	6	4	9	2	3	5	6	18	5	8	0	3	3	0	0.7066999999999994	99.53370000000004	0.2777777777777778
CEFTIBUTEN_DIHYDRATE	27	41	410.03547616799995	396.32100000000014	410.43300000000016	142	0	2	2	2	0	1	1	0	1	1	8	4	12	3	3	6	7	15	5	10	0	2	2	0	-0.048199999999999854	97.49770000000005	0.26666666666666666
CEFUROXIME_AXETIL	35	57	510.10566390399987	488.30500000000035	510.4810000000003	188	0	2	2	3	0	1	1	0	1	1	12	2	15	3	3	9	13	20	3	14	0	3	3	0	-0.16829999999999856	117.15810000000002	0.4
CELECOXIB	26	40	381.075882348	367.267	381.3790000000001	136	0	0	0	0	2	1	3	0	0	0	4	1	9	1	3	3	4	17	2	5	0	0	0	0	3.5139200000000015	90.11220000000003	0.11764705882352941
CEPHALEXIN	24	41	347.0939770239999	330.2600000000001	347.39600000000013	126	0	2	2	2	1	0	1	0	1	1	5	3	8	2	3	4	5	16	4	7	0	3	3	0	0.44489999999999896	88.72890000000005	0.3125
