m_name	n_atoms_without_Hydrogen	n_HBA	n_HBD	n_HOH	n_O	m_logp	m_mr	n_hetero_atoms	n_Hydrogen_acceptors	n_Hydrogen_donnors	is_cns_molecule
VENLAFAXINE	20	3	1	1	3	3.035600000000002	82.32380000000006	3	3	1	1
SULFOXONE_SODIUM	25	6	4	4	8	1.7015999999999998	96.85760000000003	11	6	4	0
TALINOLOL	26	4	4	4	6	3.268600000000002	104.72690000000004	6	4	4	0
METHADONE	23	2	0	0	2	4.292000000000004	96.72800000000008	2	2	0	1
EDETATE_CALCIUM_DISODIUM	20	6	4	4	10	-2.0711999999999957	63.423200000000016	10	6	4	0
ZOPICLONE	27	7	0	0	9	1.568	96.38050000000004	10	7	0	1
MOXIFLOXACIN_HYDROCHLORIDE	29	6	2	2	7	2.3705	106.67600000000007	8	6	2	0
DESMOPRESSIN	74	15	14	18	26	-4.1320300000000145	271.4036999999997	28	15	14	0
PHENMETRAZINE	13	2	1	1	2	1.736	52.59970000000003	2	2	1	1
PAMIDRONATE	13	4	6	7	8	-1.6633000000000002	42.70940000000002	10	4	6	0
CEFACLOR	24	5	3	4	7	0.6213000000000004	88.9079	9	5	3	0
CARBOCYSTEINE	11	4	3	4	5	-0.7838999999999998	40.57200000000001	6	4	3	0
PENFLURIDOL	36	2	1	1	2	7.532700000000008	129.90180000000004	8	2	1	1
TRAZODONE	26	6	0	0	6	2.3617	104.17400000000002	7	6	0	1
OLMESARTAN	41	11	2	2	12	4.1700200000000045	146.7189999999998	12	11	2	0
ZAFIRLUKAST	41	7	2	2	9	5.6959200000000045	156.9096999999997	10	7	2	0
VORICONAZOLE	25	6	1	1	6	2.1769	80.68180000000002	9	6	1	0
DROSPIRENONE	27	3	0	0	3	4.305900000000004	99.49300000000008	3	3	0	0
METHYLPHENIDATE	17	3	1	1	3	2.0853	66.84070000000004	3	3	1	1
TETRABENAZINE	23	4	0	0	4	3.238100000000002	90.13300000000008	4	4	0	1
MIDAZOLAM	23	3	0	0	3	4.324220000000002	89.05400000000004	5	3	0	1
DISOPYRAMIDE	25	3	1	2	4	3.3619000000000017	102.24840000000006	4	3	1	0
EFAVIRENZ	21	2	1	1	3	4.073100000000002	69.78870000000002	7	2	1	0
NORGESTREL	23	2	1	1	2	3.8826000000000014	90.49280000000005	2	2	1	0
FLURAZEPAM	27	3	0	0	4	4.004900000000005	108.49900000000004	6	3	0	1
OMEPRAZOLE	24	5	1	1	6	2.8997400000000013	93.02110000000003	7	5	1	0
NIACIN	9	2	1	1	3	0.7797999999999999	31.196299999999994	3	2	1	0
VOGLIBOSE	18	8	8	8	8	-4.492399999999994	59.55630000000005	8	8	8	0
TRANDOLAPRIL	31	5	2	2	7	2.7733	116.41450000000007	7	5	2	0
AMINOGLUTETHIMIDE	17	3	2	3	4	1.3531999999999995	65.20710000000003	4	3	2	0
TAMOXIFEN	28	2	0	0	2	5.9961000000000055	119.58200000000004	2	2	0	0
QUINETHAZONE	18	4	3	4	6	0.8788	67.99310000000001	8	4	3	0
DESFLURANE	10	1	0	0	1	2.0835	18.040000000000006	7	1	0	1
ATOVAQUONE	26	3	1	1	3	5.505100000000005	100.90880000000004	4	3	1	0
NIZATIDINE	21	8	2	2	7	1.3224999999999998	87.80680000000004	9	8	2	0
TERBUTALINE_SULFATE	16	4	4	4	4	1.5192999999999997	62.48710000000004	4	4	4	0
PROGLUMIDE	24	3	2	2	6	2.2984	91.72800000000004	6	3	2	0
FLUPREDNISOLONE	27	5	3	3	5	1.5056	95.32740000000004	6	5	3	0
ISOXICAM	23	6	2	2	8	1.48242	80.80930000000005	9	6	2	0
BROMPERIDOL	26	3	1	1	3	4.534700000000004	103.67730000000005	5	3	1	1
METHAMPHETAMINE	11	1	1	1	1	1.837	48.66770000000003	1	1	1	1
FAMCICLOVIR	23	9	1	2	9	0.5409999999999998	81.10840000000002	9	9	1	0
SAQUINAVIR	49	7	5	6	11	3.092400000000004	188.2137999999996	11	7	5	0
LEVOCETIRIZINE	27	4	1	1	5	3.148200000000002	106.20480000000003	6	4	1	0
BUTIZIDE	21	5	3	4	7	1.0634	80.01240000000003	10	5	3	0
AMPHETAMINE	10	1	1	2	1	1.5763	43.79540000000002	1	1	1	1
PHENYL_AMINOSALICYLATE	17	4	2	3	4	2.1936	63.91970000000002	4	4	2	0
DICHLORPHENAMIDE	16	4	2	4	6	0.2882000000000006	59.20840000000001	10	4	2	0
ISONIAZID	10	3	2	3	4	-0.3149000000000006	35.890600000000006	4	3	2	0
TRIPELENNAMINE	19	3	0	0	3	2.649800000000001	80.28300000000007	3	3	0	1
AMODIAQUINE	25	4	2	2	4	5.179200000000004	104.76750000000004	5	4	2	0
NITROGLYCERIN	15	9	0	0	12	-1.0200999999999996	37.760200000000026	12	9	0	0
SALICYLAMIDE	10	2	2	3	3	0.4911	36.624700000000026	3	2	2	0
HEXOPRENALINE	30	8	8	8	8	2.015600000000001	113.67020000000002	8	8	8	0
AMLODIPINE_BESYLATE	28	7	2	3	7	2.2663	105.57710000000004	8	7	2	0
ALPRENOLOL	18	3	2	2	3	2.1528	74.98350000000005	3	3	2	0
CARPIPRAMINE	33	4	1	2	5	4.119200000000002	134.93839999999997	5	4	1	1
ASCORBIC	12	6	4	4	6	-1.4074	35.25619999999999	6	6	4	0
MEDROXYPROGESTERONE	25	3	1	1	3	4.084400000000003	96.88780000000006	3	3	1	0
DEXTROMETHORPHAN	20	2	0	0	2	3.3834000000000017	81.36900000000007	2	2	0	1
ETIZOLAM	23	5	0	0	4	4.2040200000000025	94.14600000000002	6	5	0	1
THYMOXAMINE	20	4	0	0	4	2.9841200000000017	80.62600000000005	4	4	0	0
MECLOFENAMATE_SODIUM	19	2	2	2	3	4.743620000000003	77.88300000000002	5	2	2	0
BUSPIRONE	28	6	0	0	7	2.088199999999999	106.77400000000007	7	6	0	1
ZOTEPINE	22	3	0	0	2	4.880900000000003	94.39400000000003	4	3	0	1
BUTORPHANOL	24	3	2	2	3	3.365600000000003	94.22560000000006	3	3	2	1
RALOXIFENE_HYDROCHLORIDE	34	6	2	2	5	6.075200000000005	136.25109999999992	6	6	2	0
SULFAPYRIDINE	17	4	2	3	5	1.4646	65.89990000000002	6	4	2	0
DANAZOL	25	3	1	1	3	4.2210000000000045	96.35280000000004	3	3	1	0
LERCANIDIPINE	45	8	1	1	9	6.478400000000009	173.4010999999994	9	8	1	0
RECAINAM	19	2	3	3	4	2.8130400000000013	80.69310000000003	4	2	3	0
FELBINAC	16	1	1	1	2	2.980700000000001	63.21780000000002	2	1	1	0
VINCAMINE	26	5	1	1	5	2.952500000000001	98.73980000000006	5	5	1	0
CHLORAMPHENICOL_PALMITATE	37	6	2	2	8	6.941200000000008	146.75189999999986	10	6	2	0
IRBESARTAN	32	5	1	1	7	4.7774000000000045	123.75870000000002	7	5	1	0
CEFUROXIME_AXETIL	35	12	2	3	14	-0.16829999999999856	117.15810000000002	15	12	2	0
ALBENDAZOLE	18	4	2	2	5	3.2433000000000005	73.13640000000002	6	4	2	0
ALCLOFENAC	15	2	1	1	3	2.5319000000000007	58.483800000000016	4	2	1	0
PHENSUXIMIDE	14	2	0	0	3	1.1589	51.57700000000003	3	2	0	1
ANILERIDINE	26	4	1	2	4	3.4082000000000017	104.98540000000004	4	4	1	1
DICYCLOMINE_HYDROCHLORIDE	22	3	0	0	3	4.402200000000004	90.84000000000007	3	3	0	0
FOSAMPRENAVIR	39	8	4	5	12	2.5198	144.14299999999992	14	8	4	0
BAMIFYLLINE	28	8	1	1	8	0.3387000000000002	108.66280000000008	8	8	1	0
SULFISOXAZOLE	18	5	2	3	6	1.6744400000000002	67.63990000000003	7	5	2	0
OXYPHENONIUM_BROMIDE	25	3	1	1	4	3.484100000000001	100.00620000000008	4	3	1	0
CISAPRIDE_MONOHYDRATE	32	6	2	3	7	3.358100000000001	122.03660000000002	9	6	2	0
MINOXIDIL	15	6	3	4	6	0.17236999999999925	55.74260000000001	6	6	3	0
MENADIOL	13	2	2	2	2	2.5594200000000007	52.01460000000003	2	2	2	0
STIRIPENTOL	17	3	1	1	3	2.835500000000002	67.06080000000004	3	3	1	1
FLECAINIDE_ACETATE	28	4	2	2	5	3.440700000000001	87.51690000000004	11	4	2	0
PAROXETINE	24	4	1	1	4	3.3265000000000016	88.17770000000006	5	4	1	1
ENPROFYLLINE	14	4	2	2	6	-0.17710000000000065	51.26540000000002	6	4	2	0
NYSTATIN	65	17	12	13	18	0.7783000000000075	238.2761999999994	18	17	12	0
NITRENDIPINE	26	7	1	1	8	2.5657000000000005	93.02210000000002	8	7	1	0
CARBAZOCHROME	17	5	3	4	7	-1.2899999999999994	59.96390000000001	7	5	3	0
MELITRACEN	22	1	0	0	1	4.709300000000004	95.26200000000006	1	1	0	1
PRAZOSIN	28	8	1	2	9	1.7845999999999995	103.87890000000004	9	8	1	0
ENALAPRIL	27	5	2	2	7	1.6046	100.15250000000007	7	5	2	0
SALSALATE	19	4	2	2	5	2.309600000000001	66.46660000000001	5	4	2	0
PRALIDOXIME_CHLORIDE	10	2	1	1	3	0.3191999999999999	36.99849999999999	3	2	1	0
METHOCARBAMOL	17	5	2	3	6	0.5301999999999998	60.03120000000003	6	5	2	1
OSELTAMIVIR_PHOSPHATE	22	5	2	3	6	1.2853999999999997	84.15610000000005	6	5	2	0
AMINOPHYLLINE	13	5	1	1	6	-1.0397000000000003	46.57570000000001	6	5	1	1
CARBENOXOLONE	41	5	2	2	7	6.8283000000000085	153.8145999999998	7	5	2	0
DEXRAZOXANE	19	6	2	2	8	-2.708299999999996	63.77440000000002	8	6	2	0
METHACYCLINE_HYDROCHLORIDE	32	9	6	7	10	-0.4378999999999992	110.39390000000006	10	9	6	0
INDOMETHACIN	25	4	1	1	5	3.9273200000000026	95.74730000000002	6	4	1	0
BOSENTAN	39	10	2	2	11	4.203900000000004	144.65729999999982	12	10	2	0
PROPICILLIN	26	5	2	2	7	1.4756999999999998	96.80750000000008	8	5	2	0
MIGLITOL	14	6	5	5	6	-3.262099999999999	47.55300000000002	6	6	5	0
BENZTHIAZIDE	26	6	2	3	7	2.2427	102.8457	11	6	2	0
PRAMIPEXOLE	14	4	2	3	3	1.5822	60.63310000000002	4	4	2	1
VALSARTAN	32	5	2	2	8	4.1617000000000015	121.38650000000008	8	5	2	0
MENADIOL_SODIUM_DIPHOSPHATE	19	4	0	0	4	2.998820000000001	71.30300000000005	4	4	0	0
CLOBUTINOL	17	2	1	1	2	2.8312000000000013	73.49780000000004	3	2	1	0
CLOPIDOGREL_BISULFATE	21	4	0	0	3	3.6739000000000015	84.64200000000005	5	4	0	0
ROXITHROMYCIN	58	17	5	5	17	2.2096000000000084	212.4659999999992	17	17	5	0
INDELOXAZINE	17	3	1	1	3	1.6230999999999998	67.28470000000003	3	3	1	1
GLYCERIN	6	3	3	3	3	-1.6681	20.1784	3	3	3	0
CHLORAZEPATE	22	3	2	2	5	2.5827	83.58650000000004	6	3	2	1
SORIVUDINE	20	7	4	4	8	-1.4863000000000006	72.2931	9	7	4	0
CANDESARTAN	26	6	1	1	6	2.0796	94.52480000000004	6	6	1	0
NALBUPHINE	26	5	3	3	5	1.7073000000000005	95.41440000000006	5	5	3	1
TOPIRAMATE	22	8	1	2	9	-0.3953999999999982	71.60420000000005	10	8	1	1
CHLORPHENESIN	13	3	2	2	3	1.0719999999999998	50.03960000000002	4	3	2	1
PENTAERYTHRITOL	21	12	0	0	16	-1.1939999999999995	54.218600000000016	16	12	0	0
TROPISETRON	21	3	1	1	4	2.9499000000000013	81.30920000000005	4	3	1	1
HYDROCORTISONE_CYPIONATE	35	6	2	2	6	4.302900000000005	130.20760000000007	6	6	2	0
SULPIRIDE	23	5	2	3	7	0.5567000000000012	86.96940000000004	8	5	2	1
NIFURTIMOX	19	7	0	0	8	0.6406000000000001	67.77820000000001	9	7	0	0
SULFACYTINE	20	6	2	3	7	0.6461999999999999	75.83390000000001	8	6	2	0
DAPSONE	17	4	2	4	4	1.6838000000000002	67.16060000000002	5	4	2	0
RIBAVIRIN	17	8	4	5	9	-3.0114999999999994	51.54930000000002	9	8	4	0
ETRETINATE	26	3	0	0	3	5.645560000000009	109.52600000000008	3	3	0	0
DICUMAROL	25	6	2	2	6	2.9014000000000006	91.1036	6	6	2	0
BROMFENAC	20	3	2	3	4	2.889400000000001	79.76870000000002	5	3	2	0
ACETYLCYSTEINE	10	3	3	2	4	-0.4945	39.09350000000001	5	3	3	0
ABACAVIR_SULFATE	21	7	3	4	7	1.0922999999999998	79.74990000000003	7	7	3	0
DEXAMETHASONE	28	5	3	3	5	1.8957	99.94440000000004	6	5	3	1
DOXEPIN	21	2	0	0	2	3.9624000000000033	87.46600000000004	2	2	0	1
LACIDIPINE	33	7	1	1	7	4.402500000000004	125.86370000000004	7	7	1	0
CLOFIBRATE	16	3	0	0	3	3.060500000000001	62.79200000000004	4	3	0	0
STAVUDINE	16	5	2	2	6	-0.7090799999999999	56.19550000000001	6	5	2	0
PIPERAZINE_CITRATE	6	2	2	2	2	-0.8208	25.7394	2	2	2	0
VITAMIN_A_PALMITATE	38	2	0	0	2	11.542499999999983	167.39699999999962	2	2	0	0
PHENOXYBENZAMINE_HYDROCHLORIDE	21	2	0	0	2	4.194900000000003	88.97100000000006	3	2	0	0
MELPERONE	19	2	0	0	2	3.520500000000003	74.80250000000005	3	2	0	1
ALFENTANIL	30	8	0	0	9	1.3839000000000006	114.45600000000006	9	8	0	1
CLENBUTEROL	17	3	3	4	3	2.9971000000000005	73.58990000000001	5	3	3	0
RILUZOLE	15	4	1	2	3	2.7771	50.7154	7	4	1	0
PHENINDAMINE	20	1	0	0	1	3.9212000000000033	83.76100000000005	1	1	0	1
ETHIONAMIDE	11	2	1	2	2	1.2782	49.502400000000016	3	2	1	0
ETHOPROPAZINE	22	3	0	0	2	5.019600000000005	96.39600000000004	3	3	0	1
BENZONATATE	42	12	1	1	12	2.8346000000000027	158.5501999999997	12	12	1	0
DIPIPANONE	26	2	0	0	2	5.216300000000006	108.46500000000006	2	2	0	1
BROMHEXINE	18	2	1	2	2	4.5583000000000045	84.59440000000005	4	2	1	0
METHAZOLAMIDE	14	6	1	2	7	-1.4237999999999986	48.70220000000001	9	6	1	0
PHENYLBUTAZONE	23	2	0	0	4	3.7878000000000025	90.87100000000004	4	2	0	0
ACECAINIDE	20	3	2	2	5	1.7165999999999997	80.86690000000004	5	3	2	0
BUSULFAN	14	6	0	0	6	-0.2809999999999997	50.82560000000003	8	6	0	0
QUINACRINE	28	4	1	1	4	5.972400000000006	120.91770000000004	5	4	1	0
ACETOPHENAZINE	29	6	1	1	5	3.4919000000000024	118.60030000000008	6	6	1	1
SEMATILIDE	21	4	2	2	6	1.1297	85.02970000000005	7	4	2	0
FOSFOMYCIN_TROMETHAMINE	8	2	2	2	4	-0.09110000000000007	26.37909999999999	5	2	2	0
PYRIDOSTIGMINE_BROMIDE	13	2	0	0	4	0.5714999999999999	47.32900000000003	4	2	0	0
THIAMPHENICOL	21	5	3	3	6	0.40430000000000027	79.02210000000002	9	5	3	0
TRAMADOL	19	3	1	1	3	2.6346000000000007	77.40280000000007	3	3	1	1
QUAZEPAM	25	2	0	0	2	5.026200000000002	94.35700000000004	8	2	0	1
ITRACONAZOLE	49	12	0	0	12	5.5773000000000055	188.17599999999948	14	12	0	0
METAXALONE	16	3	1	1	4	1.7906399999999996	59.68270000000002	4	3	1	1
SULTAMICILLIN	40	11	2	3	13	-0.5885999999999969	140.48189999999985	15	11	2	0
TRIMIPRAMINE	22	2	0	0	2	4.121000000000003	95.01600000000006	2	2	0	1
LEVAMISOLE_HYDROCHLORIDE	14	3	0	0	2	2.1461	60.649000000000036	3	3	0	0
CANDESARTAN_CILEXETIL	45	11	1	1	12	6.319100000000009	164.37019999999956	12	11	1	0
ALMOTRIPTAN	23	3	1	1	5	2.1976000000000004	93.98750000000004	6	3	1	1
ATENOLOL	19	4	3	4	5	0.4521000000000001	73.98090000000003	5	4	3	0
BETHANECHOL_CHLORIDE	11	2	1	2	4	0.17640000000000045	43.0298	4	2	1	0
BENZNIDAZOLE	19	5	1	1	7	1.1076999999999997	67.17010000000003	7	5	1	0
TILIDINE	20	3	0	0	3	2.7677000000000014	80.60200000000005	3	3	0	1
NEFAZODONE	33	7	0	0	7	3.5519000000000016	132.52399999999997	8	7	0	1
INDAPAMIDE	24	4	2	3	6	2.0834	92.37840000000004	8	4	2	0
OXYPHENCYCLIMINE_HYDROCHLORIDE	25	5	1	1	5	2.7317000000000013	97.42180000000003	5	5	1	0
CHLORAMPHENICOL	20	5	3	3	7	0.909	72.56670000000003	9	5	3	0
TOLOXATONE	15	3	1	1	4	1.3125199999999997	55.87980000000003	4	3	1	1
FLEROXACIN	26	5	1	1	6	1.6992	90.76830000000004	9	5	1	0
DYPHYLLINE	18	8	2	2	8	-2.2130999999999985	63.30760000000002	8	8	2	0
VIGABATRIN	9	2	2	3	3	0.3645000000000001	35.04219999999999	3	2	2	1
GLYBURIDE	33	5	3	3	8	3.641700000000002	126.20940000000006	10	5	3	0
CYCLOBENZAPRINE_HYDROCHLORIDE	21	1	0	0	1	2.6446000000000014	91.31400000000004	1	1	0	0
COCAINE	22	5	0	0	5	1.8677	80.34150000000005	5	5	0	1
CINNARIZINE	28	2	0	0	2	5.1070000000000055	118.21600000000004	2	2	0	1
CEPHALEXIN	24	5	3	4	7	0.44489999999999896	88.72890000000004	8	5	3	0
ORPHENADRINE	20	2	0	0	2	3.6626200000000018	83.97000000000007	2	2	0	1
DIDANOSINE	17	6	2	2	7	-0.21050000000000008	58.37850000000002	7	6	2	0
OPIPRAMOL	27	4	1	1	4	3.3085000000000027	113.40080000000006	4	4	1	1
THALIDOMIDE	19	4	1	1	6	0.08779999999999992	63.113700000000016	6	4	1	1
ZOLPIDEM	23	3	0	0	4	3.2488400000000013	92.50000000000006	4	3	0	1
PERINDOPRIL_ERBUMINE	26	5	2	2	7	1.9406	96.55950000000006	7	5	2	0
NITISINONE	23	5	0	0	6	2.7346000000000013	69.7839	9	5	0	0
CHLORMEZANONE	17	3	0	0	4	1.6154999999999995	65.36680000000003	6	3	0	1
ARIPIPRAZOLE	30	4	1	1	5	4.859300000000005	123.23670000000004	7	4	1	1
BENOXAPROFEN	21	3	1	1	4	4.336300000000001	80.50580000000005	5	3	1	0
BENZTROPINE	23	2	0	0	2	4.417800000000004	93.40700000000008	2	2	0	1
AMPRENAVIR	35	7	3	4	9	2.4028	133.23270000000002	10	7	3	0
MORPHINE	21	4	2	2	4	1.1980999999999995	77.57660000000003	4	4	2	1
RIVASTIGMINE	18	3	0	0	4	2.7597000000000014	72.87200000000004	4	3	0	1
LISINOPRIL	29	5	4	5	8	1.2352000000000007	108.38670000000006	8	5	4	0
PROMAZINE	20	3	0	0	2	4.241000000000003	87.18400000000004	3	3	0	1
ZOMEPIRAC	20	3	1	1	4	2.8450200000000017	76.37430000000003	5	3	1	0
CLOMIPRAMINE	22	2	0	0	2	4.528400000000004	95.47900000000006	3	2	0	1
MYCOPHENOLATE	23	5	2	2	6	2.73322	82.84610000000005	6	5	2	0
TOLMETIN_SODIUM	19	3	1	1	4	2.1916199999999995	71.36430000000003	4	3	1	0
MODAFINIL	19	2	1	2	3	2.01	76.93080000000003	4	2	1	1
METHIMAZOLE	7	2	1	1	2	1.08269	30.5977	3	2	1	0
LOFEPRAMINE	30	3	0	0	3	5.781500000000006	125.19450000000006	4	3	0	1
INDECAINIDE_HYDROCHLORIDE	23	2	2	3	3	3.216600000000001	94.22510000000004	3	2	2	0
NITRAZEPAM	21	4	1	1	6	2.3843	78.67410000000002	6	4	1	1
ENCAINIDE	26	3	1	1	4	4.536900000000005	106.09520000000006	4	3	1	0
CEFPROZIL	27	6	4	5	8	0.7066999999999994	99.53370000000004	9	6	4	0
FLUORESCEIN	25	5	2	2	5	3.6658000000000026	88.0271	5	5	2	0
ANIRACETAM	16	3	0	0	4	1.4578	58.27150000000002	4	3	0	1
HALOPERIDOL	26	3	1	1	3	4.425600000000005	100.98730000000003	5	3	1	1
DIAMORPHINE	27	6	0	0	6	1.9886	96.76800000000006	6	6	0	1
CARBIDOPA	16	5	5	6	6	-0.05310000000000015	56.83950000000002	6	5	5	0
NORFLOXACIN	23	5	2	2	6	1.2683000000000002	85.88200000000003	7	5	2	0
BENTIROMIDE	30	4	4	4	7	3.0702000000000016	111.538	7	4	4	0
TRIFLUPROMAZINE	24	3	0	0	2	5.259800000000004	92.18600000000006	6	3	0	1
ERGOCALCIFEROL	29	1	1	1	1	7.641000000000008	125.64180000000007	1	1	1	0
FLUCONAZOLE	22	7	1	1	7	0.7357999999999993	70.29880000000001	9	7	1	0
WARFARIN_SODIUM	23	4	1	1	4	3.6096000000000017	87.73180000000002	4	4	1	0
TERAZOSIN	28	8	1	2	9	1.0567999999999995	104.82140000000004	9	8	1	0
TACROLIMUS	57	12	3	3	13	4.639000000000005	212.59239999999923	13	12	3	0
DIPHEMANIL_METHYLSULFATE	21	0	0	0	1	4.358700000000004	89.98240000000006	1	0	0	0
BIPERIDEN	23	2	1	1	2	3.962400000000004	94.09080000000006	2	2	1	1
SUCCIMER	10	4	4	2	4	-0.2476000000000001	40.81960000000001	6	4	4	0
ALENDRONATE_SODIUM	14	4	6	7	8	-1.2732	47.32640000000002	10	4	6	0
AZANIDAZOLE	18	7	1	2	8	0.8708999999999998	65.2348	8	7	1	0
DICLOFENAC	19	2	2	2	3	4.364100000000001	77.52650000000003	5	2	2	1
CLOBAZAM	21	2	0	0	4	3.3712000000000018	83.06700000000005	5	2	0	1
OXAMNIQUINE	20	5	3	3	6	1.8118	77.88960000000002	6	5	3	0
AMTOLMETIN	31	6	1	1	7	2.8374200000000016	115.36720000000004	7	6	1	0
FELODIPINE	25	5	1	1	5	3.9643000000000033	96.38770000000004	7	5	1	0
LAMOTRIGINE	16	5	2	4	5	2.0098	64.1078	7	5	2	1
DONEPEZIL	28	4	0	0	4	4.361100000000004	110.13050000000004	4	4	0	1
CLEMASTINE	24	2	0	0	2	5.1044000000000045	100.56900000000007	3	2	0	1
ETHCHLORVYNOL	9	1	1	1	1	1.5132	39.06680000000001	2	1	1	1
TRIPROLIDINE	21	2	0	0	2	3.9175200000000023	88.16900000000004	2	2	0	1
PERINDOPRILAT	24	4	3	3	7	1.4621	87.56230000000004	7	4	3	0
LOPERAMIDE_HYDROCHLORIDE	34	3	1	1	4	5.0880000000000045	137.99779999999987	5	3	1	0
CEFDITOREN	33	11	3	4	11	1.2927199999999996	125.6419	14	11	3	0
DEXMEDETOMIDINE	15	1	1	1	2	3.1783400000000013	62.02070000000002	2	1	1	1
PANTOPRAZOLE	26	6	1	1	7	2.8843000000000005	90.17910000000002	10	6	1	0
CLONIDINE	14	3	2	2	3	2.3645	60.38940000000001	5	3	2	1
BEPOTASTINE	27	4	1	1	5	4.170200000000004	104.94880000000003	6	4	1	0
LOPRAZOLAM	33	7	0	0	9	2.9331000000000014	127.12840000000004	10	7	0	1
SULFADIAZINE	17	5	2	3	6	0.8596000000000001	63.69490000000001	7	5	2	0
ANTAZOLINE	20	3	1	1	3	2.6949000000000005	84.23870000000005	3	3	1	0
AZARIBINE	26	11	1	1	12	-1.744499999999998	80.76870000000002	12	11	1	0
TINIDAZOLE	16	6	0	0	7	0.5344199999999997	57.94620000000002	8	6	0	0
LEVETIRACETAM	12	2	1	2	4	-0.12729999999999994	44.22040000000001	4	2	1	1
ATOMOXETINE	19	2	1	1	2	3.7246200000000025	79.53370000000005	2	2	1	1
NABILONE	27	3	1	1	3	6.264000000000008	109.6878000000001	3	3	1	1
LOXAPINE	23	4	0	0	4	3.7714000000000025	93.23500000000004	5	4	0	1
VALACYCLOVIR_HYDROCHLORIDE	23	9	3	5	10	-0.7975999999999985	82.28550000000001	10	9	3	0
TALIPEXOLE	14	4	1	2	3	1.3119	60.57140000000002	4	4	1	1
DIETHYLCARBAMAZINE_CITRATE	14	2	0	0	4	0.6956	57.387000000000036	4	2	0	0
THEOPHYLLINE	13	5	1	1	6	-1.0397000000000003	46.57570000000001	6	5	1	1
