m_name	n_atoms_without_Hydrogen	n_atoms_with_Hydrogen	m_weight	m_avg_weigth	m_weigth_without_Hydrogen	n_radical_electrons	n_valence_electrons	n_aliphatic_carbocycles	n_aliphatic_heterocycles	n_aliphatic_rings	n_amide_bonds	n_aromatic_carbocycles	n_aromatic_heterocycles	n_aromatic_rings	n_saturated_carbocycles	n_saturated_heterocycles	n_saturated_rings	n_HBA	n_HBD	n_hetero_atoms	n_hetero_cycles	n_rings	n_strict_rotable_bonds	n_non_strict_rotable_bonds	n_primary_carbon_atoms	n_HOH	n_O	n_Hydrogen_acceptors	n_Hydrogen_donnors	n_briged_head_atoms	n_atoms_stereo_centers	n_atoms_unspecified_stereo_centers	n_spiro_atoms	m_logp	m_mr	fraction_CSP3	p_meninges
BENORILATE	23	38	313.0950225800001	298.189	313.309	0	118	0	0	0	1	2	0	2	0	0	0	5	1	6	0	2	4	7	17	1	6	5	1	0	0	0	0	2.789500000000001	83.45520000000003	0.1176470588235294	0
CABERGOLINE	33	70	451.29472542400003	414.31900000000013	451.6150000000002	0	178	1	1	2	3	1	1	2	0	1	1	4	2	7	2	4	8	11	26	2	7	4	2	0	3	3	0	3.193900000000002	132.36540000000002	0.5384615384615384	1
TANDOSPIRONE	28	57	383.23212516800004	354.2640000000002	383.49600000000015	0	150	2	2	4	2	0	1	1	2	2	4	6	0	7	3	5	6	6	21	0	7	6	0	2	4	4	0	1.4098999999999997	104.45000000000003	0.7142857142857143	0
GRANISETRON	23	47	312.195011388	288.225	312.4170000000001	0	122	0	2	2	1	1	1	2	0	2	2	4	1	5	3	4	2	3	18	1	5	4	1	2	2	2	0	2.3184000000000005	90.39220000000006	0.5555555555555556	1
SULFAPHENAZOLE	22	36	314.083746688	300.2580000000001	314.37	0	112	0	0	0	0	2	1	3	0	0	0	5	2	7	1	3	4	4	15	3	6	5	2	0	0	0	0	2.2553	85.2269	0.0	0
TALTIRELIN	29	52	405.17606683599996	382.23100000000017	405.41500000000025	0	156	0	2	2	6	0	1	1	0	2	2	6	4	12	3	3	6	8	17	5	12	6	4	0	3	3	0	-2.1463999999999954	97.85850000000003	0.5294117647058824	1
QUINAPRIL	32	62	438.21547206	408.28400000000016	438.5240000000003	0	170	0	1	1	1	2	0	2	0	0	0	5	2	7	1	3	9	11	25	2	7	5	2	0	3	3	0	2.5671	119.90150000000007	0.4	0
QUETIAPINE	27	52	383.16674804	358.3170000000002	383.5170000000003	0	142	0	2	2	0	2	0	2	0	1	1	6	1	6	2	4	5	6	21	1	5	6	1	0	0	0	0	2.856000000000001	109.12180000000004	0.3809523809523809	1
LORCAINIDE	26	53	370.18119116400004	343.70800000000014	370.92400000000015	0	138	0	1	1	1	2	0	2	0	1	1	2	0	4	1	3	5	6	22	0	3	2	0	0	0	0	0	4.788500000000004	108.81500000000004	0.4090909090909091	0
PIPERACETAZINE	29	59	410.2027992	380.34300000000013	410.5830000000003	0	154	0	2	2	0	2	0	2	0	1	1	5	1	5	2	4	7	7	24	1	4	5	1	0	0	0	0	4.976400000000004	119.50130000000007	0.4583333333333333	1
CODEINE	22	43	299.152143532	278.20199999999994	299.37	0	116	2	2	4	0	1	0	1	0	1	1	4	1	4	2	5	1	1	18	1	4	4	1	2	5	5	1	1.5010999999999997	82.46380000000005	0.5555555555555556	1
THIABENDAZOLE	14	21	201.03606822400002	194.19799999999998	201.254	0	68	0	0	0	0	1	2	3	0	0	0	3	1	4	2	3	1	1	10	1	3	3	1	0	0	0	0	2.6864000000000012	57.20170000000002	0.0	0
ALTRETAMINE	15	33	210.15929457599998	192.141	210.285	0	84	0	0	0	0	0	1	1	0	0	0	6	0	6	1	1	3	3	9	0	6	6	0	0	0	0	0	0.0696000000000001	62.808000000000035	0.6666666666666666	0
OXILOFRINE	13	28	181.11027872	166.11499999999995	181.235	0	72	0	0	0	0	1	0	1	0	0	0	3	3	3	0	1	3	3	10	3	3	3	3	0	2	2	0	1.0334999999999996	51.588300000000025	0.4	0
METHANTHELINE_BROMIDE	25	51	340.19072011209	314.235	340.4430000000001	0	132	0	1	1	0	2	0	2	0	0	0	3	0	4	1	3	6	7	21	0	4	3	0	0	0	0	0	3.953800000000003	97.89340000000007	0.3809523809523809	0
TIAGABINE	25	50	375.13267104	350.35900000000015	375.559	0	134	0	1	1	0	0	2	2	0	1	1	4	1	5	3	3	6	6	20	1	3	4	1	0	1	1	0	5.044840000000004	106.60780000000004	0.45	1
THIOGUANINE	11	16	167.02656616	162.157	167.197	0	56	0	0	0	0	0	2	2	0	0	0	4	3	6	2	2	0	0	5	4	5	4	3	0	0	0	0	0.5976899999999999	43.48579999999999	0.0	0
PIRACETAM	10	20	142.07422756	132.07799999999997	142.158	0	56	0	1	1	2	0	0	0	0	1	1	2	1	4	1	1	2	2	6	2	4	2	1	0	0	0	0	-0.9058999999999996	35.008399999999995	0.6666666666666666	1
SUFENTANIL	27	57	386.2027992	356.32100000000014	386.56100000000015	0	146	0	1	1	1	1	1	2	0	1	1	4	0	5	2	3	8	9	22	0	4	4	0	0	0	0	0	4.214800000000004	112.52300000000008	0.5	1
FUSIDIC	37	85	516.3450892559999	468.3350000000003	516.7190000000004	0	208	4	0	4	0	0	0	0	4	0	4	5	3	6	0	4	5	6	31	3	6	5	3	0	10	10	0	5.6661000000000055	142.55139999999992	0.8064516129032258	0
CARVEDILOL	30	56	406.189257312	380.27400000000017	406.48199999999997	0	156	0	0	0	0	3	1	4	0	0	0	5	3	6	1	4	10	10	24	3	6	5	3	0	1	1	0	3.7380000000000018	118.66520000000004	0.25	0
OXAPROZIN	22	37	293.10519334	278.202	293.32200000000006	0	110	0	0	0	0	2	1	3	0	0	0	3	1	4	1	3	5	5	18	1	4	3	1	0	0	0	0	4.025800000000003	83.33180000000003	0.1111111111111111	0
RANITIDINE_BISMUTH_CITRATE	21	43	314.141261564	292.23500000000007	314.411	0	118	0	0	0	0	0	1	1	0	0	0	7	2	8	1	1	10	10	13	2	7	7	2	0	0	0	0	1.4589999999999996	84.40080000000003	0.5384615384615384	0
METHOXSALEN	16	24	216.04225873599998	208.128	216.192	0	80	0	0	0	0	1	2	3	0	0	0	4	0	4	2	3	1	1	12	0	4	4	0	0	0	0	0	2.5478000000000005	58.80800000000002	0.08333333333333333	0
GABAPENTIN	12	29	171.125928784	154.10399999999996	171.23999999999995	0	70	1	0	1	0	0	0	0	1	0	1	2	2	3	0	1	3	3	9	3	3	2	2	0	0	0	0	1.3703	46.82520000000001	0.8888888888888888	1
DEXPANTHENOL	14	33	205.131408088	186.10199999999998	205.254	0	84	0	0	0	1	0	0	0	0	0	0	4	4	5	0	0	6	7	9	4	5	4	4	0	1	1	0	-1.1355999999999995	51.58610000000003	0.8888888888888888	0
OXIRACETAM	11	21	158.06914218	148.07699999999997	158.15699999999995	0	62	0	1	1	2	0	0	0	0	1	1	3	2	5	1	1	2	2	6	3	5	3	2	0	1	1	0	-1.9350999999999992	36.39819999999999	0.6666666666666666	1
VENLAFAXINE	20	47	277.204179104	250.19199999999992	277.408	0	112	1	0	1	0	1	0	1	1	0	1	3	1	3	0	2	5	5	17	1	3	3	1	0	1	1	0	3.035600000000002	82.32380000000006	0.6470588235294118	1
SULFOXONE_SODIUM	25	41	404.017049232	388.36300000000017	404.49100000000016	0	136	0	0	0	0	2	0	2	0	0	0	6	4	11	0	2	8	8	14	4	8	6	4	0	2	2	0	1.7015999999999998	96.85760000000003	0.14285714285714285	0
TALINOLOL	26	59	363.25219191599996	330.2380000000001	363.5020000000002	0	146	1	0	1	2	1	0	1	1	0	1	4	4	6	0	2	7	10	20	4	6	4	4	0	1	1	0	3.268600000000002	104.72690000000004	0.65	0
METHADONE	23	50	309.209264484	282.237	309.4530000000001	0	122	0	0	0	0	2	0	2	0	0	0	2	0	2	0	2	7	7	21	0	2	2	0	0	1	1	0	4.292000000000004	96.72800000000008	0.3809523809523809	1
EDETATE_CALCIUM_DISODIUM	20	36	292.090665472	276.116	292.244	0	114	0	0	0	0	0	0	0	0	0	0	6	4	10	0	0	11	11	10	4	10	6	4	0	0	0	0	-2.071199999999996	63.423200000000016	0.6	0
ZOPICLONE	27	44	388.10506608400004	371.67900000000014	388.81500000000005	0	140	0	2	2	2	0	2	2	0	1	1	7	0	10	4	4	2	4	17	0	9	7	0	0	1	1	0	1.568	96.38050000000004	0.35294117647058826	1
MOXIFLOXACIN_HYDROCHLORIDE	29	53	401.175084468	377.24600000000015	401.43800000000016	0	154	1	2	3	0	1	1	2	1	2	3	6	2	8	3	5	4	4	21	2	7	6	2	0	2	2	0	2.3705	106.67600000000007	0.5238095238095238	0
DESMOPRESSIN	74	138	1068.426955488	1004.7259999999992	1069.2379999999994	0	402	0	2	2	11	2	0	2	0	2	2	15	14	28	2	4	19	23	46	18	26	15	14	0	7	7	0	-4.132030000000015	271.4036999999997	0.4782608695652174	0
PHENMETRAZINE	13	28	177.1153641	162.12699999999995	177.247	0	70	0	1	1	0	1	0	1	0	1	1	2	1	2	1	2	1	1	11	1	2	2	1	0	2	2	0	1.736	52.59970000000003	0.4545454545454545	1
PAMIDRONATE	13	24	235.001074952	223.981	235.06900000000002	0	80	0	0	0	0	0	0	0	0	0	0	4	6	10	0	0	4	4	3	7	8	4	6	0	0	0	0	-1.6633000000000002	42.709400000000024	1.0	0
CEFACLOR	24	38	367.03935460800005	353.70200000000017	367.814	0	126	0	2	2	2	1	0	1	0	1	1	5	3	9	2	3	4	5	15	4	7	5	3	0	3	3	0	0.6213000000000004	88.9079	0.26666666666666666	0
CARBOCYSTEINE	11	20	179.025228768	170.12499999999997	179.197	0	64	0	0	0	0	0	0	0	0	0	0	4	3	6	0	0	5	5	5	4	5	4	3	0	1	1	0	-0.7838999999999998	40.57200000000001	0.6	0
PENFLURIDOL	36	63	523.1701332639999	496.75700000000006	523.9730000000002	0	192	0	1	1	0	3	0	3	0	1	1	2	1	8	1	4	7	8	28	1	2	2	1	0	0	0	0	7.532700000000008	129.90180000000004	0.35714285714285715	1
TRAZODONE	26	48	371.15128800400004	349.69600000000014	371.87200000000007	0	136	0	1	1	0	1	2	3	0	1	1	6	0	7	3	4	5	5	19	0	6	6	0	0	0	0	0	2.3617	104.17400000000002	0.3684210526315789	1
OLMESARTAN	41	71	558.2226826800002	528.3550000000004	558.5950000000001	0	212	0	0	0	0	2	3	5	0	0	0	11	2	12	3	5	10	11	29	2	12	11	2	0	0	0	0	4.1700200000000045	146.7189999999998	0.3103448275862069	0
ZAFIRLUKAST	41	74	575.2090067759999	542.4230000000001	575.6870000000004	0	214	1	0	1	2	3	1	4	1	0	1	7	2	10	1	5	8	11	31	2	9	7	2	0	0	0	0	5.6959200000000045	156.9096999999997	0.2903225806451613	0
VORICONAZOLE	25	39	349.11504472800004	335.20400000000006	349.3160000000001	0	130	0	0	0	0	1	2	3	0	0	0	6	1	9	2	3	5	5	16	1	6	6	1	0	2	2	0	2.1769	80.68180000000002	0.25	0
DROSPIRENONE	27	57	366.21949482	336.26100000000014	366.50100000000015	0	144	6	1	7	0	0	0	0	5	1	6	3	0	3	1	7	0	0	24	0	3	3	0	0	10	10	1	4.305900000000004	99.49300000000008	0.8333333333333334	0
METHYLPHENIDATE	17	36	233.141578848	214.159	233.31099999999995	0	92	0	1	1	0	1	0	1	0	1	1	3	1	3	1	2	3	4	14	1	3	3	1	0	2	2	0	2.0853	66.84070000000004	0.5	1
TETRABENAZINE	23	50	317.199093724	290.21299999999997	317.4290000000001	0	126	0	2	2	0	1	0	1	0	1	1	4	0	4	2	3	4	4	19	0	4	4	0	0	2	2	0	3.238100000000002	90.13300000000008	0.631578947368421	1
MIDAZOLAM	23	36	325.07820331600004	312.67	325.774	0	114	0	1	1	0	2	1	3	0	0	0	3	0	5	2	4	1	1	18	0	3	3	0	0	0	0	0	4.324220000000002	89.05400000000004	0.1111111111111111	1
DISOPYRAMIDE	25	54	339.231062548	310.2510000000001	339.48300000000006	0	134	0	0	0	1	1	1	2	0	0	0	3	1	4	1	2	8	8	21	2	4	3	1	0	1	1	0	3.3619000000000017	102.24840000000006	0.42857142857142855	0
EFAVIRENZ	21	30	315.027390868	306.60600000000005	315.6780000000001	0	110	1	1	2	1	1	0	1	1	0	1	2	1	7	1	3	0	1	14	1	3	2	1	0	1	1	0	4.073100000000002	69.78870000000002	0.35714285714285715	0
NORGESTREL	23	51	312.208930136	284.22900000000004	312.4530000000001	0	124	4	0	4	0	0	0	0	3	0	3	2	1	2	0	4	1	1	21	1	2	2	1	0	6	6	0	3.8826000000000023	90.49280000000005	0.7619047619047619	0
FLURAZEPAM	27	50	387.151368256	364.702	387.88600000000014	0	142	0	1	1	1	2	0	2	0	0	0	3	0	6	1	3	6	6	21	0	4	3	0	0	0	0	0	4.004900000000005	108.49900000000004	0.3333333333333333	1
OMEPRAZOLE	24	43	345.11471246800005	326.2720000000001	345.42400000000015	0	126	0	0	0	0	1	2	3	0	0	0	5	1	7	2	3	5	5	17	1	6	5	1	0	1	1	0	2.8997400000000013	93.02110000000003	0.29411764705882354	0
NIACIN	9	14	123.0320284	118.07099999999998	123.11099999999998	0	46	0	0	0	0	0	1	1	0	0	0	2	1	3	1	1	1	1	6	1	3	2	1	0	0	0	0	0.7797999999999999	31.196299999999994	0.0	0
VOGLIBOSE	18	39	267.13180201200004	246.11	267.278	0	108	1	0	1	0	0	0	0	1	0	1	8	8	8	0	1	5	5	10	8	8	8	8	0	5	5	0	-4.492399999999994	59.55630000000005	1.0	0
TRANDOLAPRIL	31	65	430.246772188	396.27300000000014	430.54500000000036	0	170	1	1	2	1	1	0	1	1	1	2	5	2	7	1	3	9	11	24	2	7	5	2	0	5	5	0	2.7733	116.41450000000007	0.625	0
AMINOGLUTETHIMIDE	17	33	232.121177752	216.155	232.283	0	90	0	1	1	2	1	0	1	0	1	1	3	2	4	1	2	2	2	13	3	4	3	2	0	1	1	0	1.3531999999999995	65.20710000000003	0.38461538461538464	0
TAMOXIFEN	28	57	371.224914548	342.2920000000001	371.524	0	144	0	0	0	0	3	0	3	0	0	0	2	0	2	0	3	8	8	26	0	2	2	0	0	0	0	0	5.9961000000000055	119.58200000000004	0.2307692307692308	0
QUINETHAZONE	18	30	289.028789924	277.648	289.74400000000014	0	98	0	1	1	1	1	0	1	0	0	0	4	3	8	1	2	2	2	10	4	6	4	3	0	1	1	0	0.8788	67.99310000000001	0.3	0
DESFLURANE	10	12	168.000984004	166.01999999999995	168.03599999999997	0	62	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	2	3	3	0	1	1	0	0	1	1	0	2.0835	18.040000000000006	1.0	1
ATOVAQUONE	26	45	366.10227214800005	347.6920000000002	366.84400000000016	0	132	2	0	2	0	2	0	2	1	0	1	3	1	4	0	4	2	2	22	1	3	3	1	0	0	0	0	5.505100000000005	100.90880000000004	0.2727272727272727	0
NIZATIDINE	21	42	331.1136669120001	310.2990000000001	331.4670000000001	0	118	0	0	0	0	0	1	1	0	0	0	8	2	9	1	1	10	10	12	2	7	8	2	0	0	0	0	1.3224999999999998	87.80680000000004	0.5833333333333334	0
TERBUTALINE_SULFATE	16	35	225.136493468	206.136	225.28799999999998	0	90	0	0	0	0	1	0	1	0	0	0	4	4	4	0	1	3	4	12	4	4	4	4	0	1	1	0	1.5192999999999997	62.48710000000004	0.5	0
PROGLUMIDE	24	50	334.189257312	308.20800000000014	334.41600000000005	0	132	0	0	0	2	1	0	1	0	0	0	3	2	6	0	1	10	12	18	2	6	3	2	0	1	1	0	2.2984	91.72800000000004	0.5	0
FLUPREDNISOLONE	27	54	378.184252184	351.22400000000016	378.44000000000017	0	148	4	0	4	0	0	0	0	3	0	3	5	3	6	0	4	2	2	21	3	5	5	3	0	8	8	0	1.5056	95.32740000000004	0.7142857142857143	0
ISOXICAM	23	36	335.057591516	322.23700000000014	335.34100000000007	0	120	0	1	1	1	1	1	2	0	0	0	6	2	9	2	3	2	3	14	2	8	6	2	0	0	0	0	1.48242	80.80930000000005	0.14285714285714285	0
BROMPERIDOL	26	49	419.08961929599997	397.138	420.322	0	138	0	1	1	0	2	0	2	0	1	1	3	1	5	1	3	6	6	21	1	3	3	1	0	0	0	0	4.534700000000004	103.67730000000005	0.3809523809523809	1
METHAMPHETAMINE	11	26	149.12044948	134.11700000000002	149.23699999999997	0	60	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	3	3	10	1	1	1	1	0	1	1	0	1.837	48.66770000000003	0.4	1
FAMCICLOVIR	23	42	321.143704088	302.18500000000006	321.3370000000002	0	124	0	0	0	0	0	2	2	0	0	0	9	1	9	2	2	7	9	14	2	9	9	1	0	0	0	0	0.5409999999999998	81.10840000000002	0.5	0
SAQUINAVIR	49	99	670.3842687000001	620.455	670.855	0	262	1	1	2	4	2	1	3	1	1	2	7	5	11	2	5	12	16	38	6	11	7	5	0	6	6	0	3.092400000000004	188.2137999999996	0.5	0
LEVOCETIRIZINE	27	52	388.1553703400001	363.69500000000016	388.89500000000015	0	144	0	1	1	0	2	0	2	0	1	1	4	1	6	1	3	8	8	21	1	5	4	1	0	1	1	0	3.148200000000002	106.20480000000003	0.3809523809523809	0
BUTIZIDE	21	37	353.02707567199997	337.725	353.85300000000007	0	118	0	1	1	0	1	0	1	0	0	0	5	3	10	1	2	3	3	11	4	7	5	3	0	1	1	0	1.0634	80.01240000000003	0.4545454545454545	0
AMPHETAMINE	10	23	135.104799416	122.10599999999998	135.20999999999995	0	54	0	0	0	0	1	0	1	0	0	0	1	1	1	0	1	2	2	9	2	1	1	1	0	1	1	0	1.5763	43.79540000000002	0.3333333333333333	1
PHENYL_AMINOSALICYLATE	17	28	229.073893212	218.14699999999996	229.23500000000004	0	86	0	0	0	0	2	0	2	0	0	0	4	2	4	0	2	2	3	13	3	4	4	2	0	0	0	0	2.1936	63.91970000000002	0.0	0
DICHLORPHENAMIDE	16	22	303.914604032	299.1160000000001	305.1640000000001	0	90	0	0	0	0	1	0	1	0	0	0	4	2	10	0	1	2	2	6	4	6	4	2	0	0	0	0	0.2882000000000006	59.20840000000001	0.0	0
ISONIAZID	10	17	137.058911844	130.08599999999998	137.142	0	52	0	0	0	1	0	1	1	0	0	0	3	2	4	1	1	1	2	6	3	4	3	2	0	0	0	0	-0.3149000000000006	35.890600000000006	0.0	0
TRIPELENNAMINE	19	40	255.173547672	234.19699999999997	255.36500000000004	0	100	0	0	0	0	1	1	2	0	0	0	3	0	3	1	2	6	6	16	0	3	3	0	0	0	0	0	2.649800000000001	80.28300000000007	0.3125	1
AMODIAQUINE	25	47	355.14514000399987	333.6930000000001	355.86900000000014	0	130	0	0	0	0	2	1	3	0	0	0	4	2	5	1	3	6	6	20	2	4	4	2	0	0	0	0	5.179200000000004	104.76750000000004	0.25	0
NITROGLYCERIN	15	20	227.00257874	222.045	227.085	0	86	0	0	0	0	0	0	0	0	0	0	9	0	12	0	0	8	8	3	0	12	9	0	0	0	0	0	-1.0200999999999996	37.760200000000026	1.0	0
SALICYLAMIDE	10	17	137.047678464	130.082	137.13799999999998	0	52	0	0	0	1	1	0	1	0	0	0	2	2	3	0	1	1	1	7	3	3	2	2	0	0	0	0	0.4911	36.624700000000026	0.0	0
HEXOPRENALINE	30	62	420.226036744	388.25000000000017	420.50600000000014	0	166	0	0	0	0	2	0	2	0	0	0	8	8	8	0	2	13	13	22	8	8	8	8	0	2	2	0	2.015600000000001	113.67020000000002	0.4545454545454545	0
AMLODIPINE_BESYLATE	28	53	408.14519958	383.68200000000013	408.8820000000002	0	152	0	1	1	0	1	0	1	0	0	0	7	2	8	1	2	8	10	20	3	7	7	2	0	1	1	0	2.2663	105.57710000000004	0.4	0
ALPRENOLOL	18	41	249.172878976	226.17	249.354	0	100	0	0	0	0	1	0	1	0	0	0	3	2	3	0	1	8	8	15	2	3	3	2	0	1	1	0	2.1528	74.98350000000005	0.4666666666666667	0
CARPIPRAMINE	33	71	446.304561836	408.33500000000015	446.6390000000005	0	176	0	3	3	1	2	0	2	0	2	2	4	1	5	3	5	6	6	28	2	5	4	1	0	0	0	0	4.119200000000002	134.93839999999997	0.5357142857142857	1
ASCORBIC	12	20	176.03208797599999	168.05999999999997	176.12400000000002	0	68	0	1	1	0	0	0	0	0	0	0	6	4	6	1	1	2	2	6	4	6	6	4	0	2	2	0	-1.4074	35.25619999999999	0.5	0
MEDROXYPROGESTERONE	25	57	344.235144884	312.2390000000001	344.4950000000002	0	138	4	0	4	0	0	0	0	3	0	3	3	1	3	0	4	1	1	22	1	3	3	1	0	7	7	0	4.084400000000003	96.88780000000006	0.8181818181818182	0
DEXTROMETHORPHAN	20	45	271.19361442	246.20399999999992	271.40400000000005	0	108	2	1	3	0	1	0	1	1	1	2	2	0	2	1	4	1	1	18	0	2	2	0	2	3	3	0	3.383400000000002	81.36900000000007	0.6666666666666666	1
ETIZOLAM	23	38	342.0705951600001	327.73500000000007	342.85500000000013	0	116	0	1	1	0	1	2	3	0	0	0	5	0	6	3	4	2	2	17	0	4	5	0	0	0	0	0	4.2040200000000025	94.14600000000002	0.2352941176470588	1
THYMOXAMINE	20	45	279.18344366	254.17999999999995	279.38	0	112	0	0	0	0	1	0	1	0	0	0	4	0	4	0	1	6	7	16	0	4	4	0	0	0	0	0	2.9841200000000017	80.62600000000005	0.5625	0
MECLOFENAMATE_SODIUM	19	30	295.01668395200005	285.06499999999994	296.153	0	98	0	0	0	0	2	0	2	0	0	0	2	2	5	0	2	3	3	14	2	3	2	2	0	0	0	0	4.743620000000003	77.88300000000002	0.07142857142857142	0
BUSPIRONE	28	59	385.247775232	354.2640000000002	385.5120000000003	0	152	1	2	3	2	0	1	1	1	2	3	6	0	7	3	4	6	6	21	0	7	6	0	0	0	0	1	2.088199999999999	106.77400000000007	0.7142857142857143	1
ZOTEPINE	22	40	331.07976287599996	313.72399999999993	331.86800000000005	0	114	0	1	1	0	2	0	2	0	0	0	3	0	4	1	3	4	4	18	0	2	3	0	0	0	0	0	4.880900000000003	94.39400000000003	0.2222222222222222	1
BUTORPHANOL	24	53	327.219829168	298.2360000000001	327.468	0	130	3	1	4	0	1	0	1	2	1	3	3	2	3	1	5	2	2	21	2	3	3	2	2	3	3	0	3.365600000000003	94.22560000000006	0.7142857142857143	1
RALOXIFENE_HYDROCHLORIDE	34	61	473.166079344	446.3780000000002	473.5940000000004	0	174	0	1	1	0	3	1	4	0	1	1	6	2	6	2	5	7	7	28	2	5	6	2	0	0	0	0	6.075200000000005	136.25109999999992	0.25	0
SULFAPYRIDINE	17	28	249.057197592	238.207	249.295	0	88	0	0	0	0	1	1	2	0	0	0	4	2	6	1	2	3	3	11	3	5	4	2	0	0	0	0	1.4646	65.89990000000002	0.0	0
DANAZOL	25	52	337.204179104	310.24700000000007	337.46300000000014	0	132	4	0	4	0	0	1	1	3	0	3	3	1	3	1	5	0	0	22	1	3	3	1	0	6	6	0	4.2210000000000045	96.35280000000004	0.6818181818181818	0
LERCANIDIPINE	45	86	611.299536032	570.4110000000003	611.7390000000004	0	236	0	1	1	0	3	0	3	0	0	0	8	1	9	1	4	12	14	36	1	9	8	1	0	1	1	0	6.478400000000009	173.40109999999942	0.3333333333333333	0
RECAINAM	19	44	263.19976242	238.185	263.38500000000005	0	106	0	0	0	2	1	0	1	0	0	0	2	3	4	0	1	6	8	15	3	4	2	3	0	0	0	0	2.8130400000000013	80.69310000000003	0.5333333333333333	0
FELBINAC	16	28	212.08372962400003	200.152	212.248	0	80	0	0	0	0	2	0	2	0	0	0	1	1	2	0	2	3	3	14	1	2	1	1	0	0	0	0	2.980700000000001	63.217800000000025	0.07142857142857142	0
VINCAMINE	26	52	354.1943426919999	328.24200000000013	354.45000000000016	0	138	0	3	3	0	1	1	2	0	1	1	5	1	5	4	5	2	3	21	1	5	5	1	0	3	3	0	2.952500000000001	98.73980000000006	0.5714285714285714	0
CHLORAMPHENICOL_PALMITATE	37	79	560.2419924239998	519.2110000000001	561.5470000000001	0	210	0	0	0	1	1	0	1	0	0	0	6	2	10	0	1	21	23	27	2	8	6	2	0	2	2	0	6.941200000000008	146.75189999999986	0.7037037037037037	0
