m_name	n_atoms_without_Hydrogen	n_atoms_with_Hydrogen	m_weight	m_avg_weigth	m_weigth_without_Hydrogen	n_radical_electrons	n_valence_electrons	n_aliphatic_heterocycles	n_aliphatic_rings	n_amide_bonds	n_aromatic_carbocycles	n_aromatic_rings	n_saturated_heterocycles	n_saturated_rings	n_HBA	n_HBD	n_hetero_atoms	n_rings	n_strict_rotable_bonds	n_non_strict_rotable_bonds	n_HOH	n_O	n_Hydrogen_acceptors	n_Hydrogen_donnors	n_briged_head_atoms	n_atoms_stereo_centers	n_atoms_unspecified_stereo_centers	m_logp	m_mr	fraction_CSP3	is_cns_molecule
ZONISAMIDE	14.0	22.0	212.02556311599997	204.166	212.23	0.0	74.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	4.0	1.0	6.0	2.0	2.0	2.0	2.0	5.0	4.0	1.0	0.0	0.0	0.0	0.6163	50.82020000000002	0.125	1
GATIFLOXACIN	27.0	49.0	375.159434404	353.22400000000016	375.40000000000015	0.0	144.0	1.0	2.0	0.0	1.0	2.0	1.0	2.0	6.0	2.0	8.0	4.0	4.0	4.0	2.0	7.0	6.0	2.0	0.0	1.0	1.0	1.9804	99.62600000000006	0.4736842105263158	0
HETACILLIN	27.0	50.0	389.14092721599997	366.2930000000002	389.47700000000015	0.0	144.0	3.0	3.0	2.0	1.0	1.0	3.0	3.0	5.0	2.0	8.0	4.0	3.0	3.0	2.0	7.0	5.0	2.0	0.0	4.0	4.0	1.4111	100.75950000000006	0.5263157894736842	0
BENORILATE	23.0	38.0	313.0950225800001	298.189	313.309	0.0	118.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	5.0	1.0	6.0	2.0	4.0	7.0	1.0	6.0	5.0	1.0	0.0	0.0	0.0	2.789500000000001	83.45520000000003	0.1176470588235294	0
CABERGOLINE	33.0	70.0	451.29472542400003	414.3190000000001	451.6150000000002	0.0	178.0	1.0	2.0	3.0	1.0	2.0	1.0	1.0	4.0	2.0	7.0	4.0	8.0	11.0	2.0	7.0	4.0	2.0	0.0	3.0	3.0	3.193900000000002	132.36540000000002	0.5384615384615384	1
TANDOSPIRONE	28.0	57.0	383.23212516800004	354.2640000000002	383.49600000000015	0.0	150.0	2.0	4.0	2.0	0.0	1.0	2.0	4.0	6.0	0.0	7.0	5.0	6.0	6.0	0.0	7.0	6.0	0.0	2.0	4.0	4.0	1.4098999999999997	104.45000000000003	0.7142857142857143	0
GRANISETRON	23.0	47.0	312.195011388	288.225	312.4170000000001	0.0	122.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	4.0	1.0	5.0	4.0	2.0	3.0	1.0	5.0	4.0	1.0	2.0	2.0	2.0	2.3184000000000005	90.39220000000006	0.5555555555555556	1
SULFAPHENAZOLE	22.0	36.0	314.083746688	300.2580000000001	314.37	0.0	112.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	5.0	2.0	7.0	3.0	4.0	4.0	3.0	6.0	5.0	2.0	0.0	0.0	0.0	2.2553	85.2269	0.0	0
TALTIRELIN	29.0	52.0	405.17606683599996	382.23100000000017	405.41500000000025	0.0	156.0	2.0	2.0	6.0	0.0	1.0	2.0	2.0	6.0	4.0	12.0	3.0	6.0	8.0	5.0	12.0	6.0	4.0	0.0	3.0	3.0	-2.1463999999999954	97.85850000000003	0.5294117647058824	1
QUINAPRIL	32.0	62.0	438.21547206	408.28400000000016	438.5240000000003	0.0	170.0	1.0	1.0	1.0	2.0	2.0	0.0	0.0	5.0	2.0	7.0	3.0	9.0	11.0	2.0	7.0	5.0	2.0	0.0	3.0	3.0	2.5671	119.90150000000007	0.4	0
QUETIAPINE	27.0	52.0	383.16674804	358.3170000000002	383.5170000000003	0.0	142.0	2.0	2.0	0.0	2.0	2.0	1.0	1.0	6.0	1.0	6.0	4.0	5.0	6.0	1.0	5.0	6.0	1.0	0.0	0.0	0.0	2.856000000000001	109.12180000000004	0.3809523809523809	1
LORCAINIDE	26.0	53.0	370.18119116400004	343.70800000000014	370.92400000000015	0.0	138.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	0.0	4.0	3.0	5.0	6.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	4.788500000000004	108.81500000000004	0.4090909090909091	0
PIPERACETAZINE	29.0	59.0	410.2027992	380.3430000000001	410.5830000000003	0.0	154.0	2.0	2.0	0.0	2.0	2.0	1.0	1.0	5.0	1.0	5.0	4.0	7.0	7.0	1.0	4.0	5.0	1.0	0.0	0.0	0.0	4.976400000000004	119.50130000000007	0.4583333333333333	1
CODEINE	22.0	43.0	299.152143532	278.20199999999994	299.37	0.0	116.0	2.0	4.0	0.0	1.0	1.0	1.0	1.0	4.0	1.0	4.0	5.0	1.0	1.0	1.0	4.0	4.0	1.0	2.0	5.0	5.0	1.5010999999999997	82.46380000000005	0.5555555555555556	1
THIABENDAZOLE	14.0	21.0	201.03606822400002	194.198	201.25400000000002	0.0	68.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	3.0	1.0	4.0	3.0	1.0	1.0	1.0	3.0	3.0	1.0	0.0	0.0	0.0	2.686400000000001	57.20170000000002	0.0	0
ALTRETAMINE	15.0	33.0	210.15929457599998	192.141	210.285	0.0	84.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	6.0	1.0	3.0	3.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0696000000000001	62.808000000000035	0.6666666666666666	0
OXILOFRINE	13.0	28.0	181.11027872	166.11499999999995	181.235	0.0	72.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	3.0	3.0	3.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	0.0	2.0	2.0	1.0334999999999996	51.58830000000002	0.4	0
METHANTHELINE_BROMIDE	25.0	51.0	340.19072011209	314.235	340.4430000000001	0.0	132.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	3.0	0.0	4.0	3.0	6.0	7.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	3.953800000000003	97.89340000000007	0.3809523809523809	0
TIAGABINE	25.0	50.0	375.13267104	350.35900000000015	375.559	0.0	134.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	4.0	1.0	5.0	3.0	6.0	6.0	1.0	3.0	4.0	1.0	0.0	1.0	1.0	5.044840000000004	106.60780000000004	0.45	1
THIOGUANINE	11.0	16.0	167.02656616	162.157	167.197	0.0	56.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	3.0	6.0	2.0	0.0	0.0	4.0	5.0	4.0	3.0	0.0	0.0	0.0	0.5976899999999999	43.48579999999999	0.0	0
PIRACETAM	10.0	20.0	142.07422756	132.07799999999997	142.158	0.0	56.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	2.0	1.0	4.0	1.0	2.0	2.0	2.0	4.0	2.0	1.0	0.0	0.0	0.0	-0.9058999999999996	35.008399999999995	0.6666666666666666	1
SUFENTANIL	27.0	57.0	386.2027992	356.32100000000014	386.56100000000015	0.0	146.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	4.0	0.0	5.0	3.0	8.0	9.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	4.214800000000004	112.52300000000008	0.5	1
FUSIDIC	37.0	85.0	516.3450892559999	468.3350000000003	516.7190000000004	0.0	208.0	0.0	4.0	0.0	0.0	0.0	0.0	4.0	5.0	3.0	6.0	4.0	5.0	6.0	3.0	6.0	5.0	3.0	0.0	10.0	10.0	5.6661000000000055	142.55139999999992	0.8064516129032258	0
CARVEDILOL	30.0	56.0	406.189257312	380.27400000000017	406.482	0.0	156.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	5.0	3.0	6.0	4.0	10.0	10.0	3.0	6.0	5.0	3.0	0.0	1.0	1.0	3.7380000000000018	118.66520000000004	0.25	0
OXAPROZIN	22.0	37.0	293.10519334	278.202	293.32200000000006	0.0	110.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	3.0	1.0	4.0	3.0	5.0	5.0	1.0	4.0	3.0	1.0	0.0	0.0	0.0	4.025800000000003	83.33180000000003	0.1111111111111111	0
RANITIDINE_BISMUTH_CITRATE	21.0	43.0	314.141261564	292.23500000000007	314.411	0.0	118.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0	2.0	8.0	1.0	10.0	10.0	2.0	7.0	7.0	2.0	0.0	0.0	0.0	1.4589999999999996	84.40080000000003	0.5384615384615384	0
METHOXSALEN	16.0	24.0	216.04225873599998	208.128	216.192	0.0	80.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	4.0	0.0	4.0	3.0	1.0	1.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	2.5478000000000005	58.80800000000002	0.08333333333333333	0
GABAPENTIN	12.0	29.0	171.125928784	154.10399999999996	171.23999999999995	0.0	70.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	3.0	1.0	3.0	3.0	3.0	3.0	2.0	2.0	0.0	0.0	0.0	1.3703	46.82520000000001	0.8888888888888888	1
DEXPANTHENOL	14.0	33.0	205.131408088	186.102	205.25400000000002	0.0	84.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	4.0	5.0	0.0	6.0	7.0	4.0	5.0	4.0	4.0	0.0	1.0	1.0	-1.1355999999999995	51.58610000000003	0.8888888888888888	0
OXIRACETAM	11.0	21.0	158.06914218	148.07699999999997	158.15699999999995	0.0	62.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	3.0	2.0	5.0	1.0	2.0	2.0	3.0	5.0	3.0	2.0	0.0	1.0	1.0	-1.9350999999999992	36.39819999999999	0.6666666666666666	1
VENLAFAXINE	20.0	47.0	277.204179104	250.19199999999992	277.408	0.0	112.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	3.0	1.0	3.0	2.0	5.0	5.0	1.0	3.0	3.0	1.0	0.0	1.0	1.0	3.035600000000002	82.32380000000006	0.6470588235294118	1
SULFOXONE_SODIUM	25.0	41.0	404.017049232	388.36300000000017	404.49100000000016	0.0	136.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	6.0	4.0	11.0	2.0	8.0	8.0	4.0	8.0	6.0	4.0	0.0	2.0	2.0	1.7015999999999998	96.85760000000003	0.14285714285714285	0
TALINOLOL	26.0	59.0	363.25219191599996	330.2380000000001	363.5020000000002	0.0	146.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	4.0	4.0	6.0	2.0	7.0	10.0	4.0	6.0	4.0	4.0	0.0	1.0	1.0	3.268600000000002	104.72690000000004	0.65	0
METHADONE	23.0	50.0	309.209264484	282.237	309.4530000000001	0.0	122.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	2.0	7.0	7.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0	4.292000000000004	96.72800000000008	0.3809523809523809	1
EDETATE_CALCIUM_DISODIUM	20.0	36.0	292.090665472	276.116	292.244	0.0	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	10.0	0.0	11.0	11.0	4.0	10.0	6.0	4.0	0.0	0.0	0.0	-2.0711999999999957	63.423200000000016	0.6	0
ZOPICLONE	27.0	44.0	388.10506608400004	371.67900000000014	388.81500000000005	0.0	140.0	2.0	2.0	2.0	0.0	2.0	1.0	1.0	7.0	0.0	10.0	4.0	2.0	4.0	0.0	9.0	7.0	0.0	0.0	1.0	1.0	1.568	96.38050000000004	0.35294117647058826	1
MOXIFLOXACIN_HYDROCHLORIDE	29.0	53.0	401.175084468	377.24600000000015	401.43800000000016	0.0	154.0	2.0	3.0	0.0	1.0	2.0	2.0	3.0	6.0	2.0	8.0	5.0	4.0	4.0	2.0	7.0	6.0	2.0	0.0	2.0	2.0	2.3705	106.67600000000007	0.5238095238095238	0
DESMOPRESSIN	74.0	138.0	1068.426955488	1004.7259999999992	1069.2379999999994	0.0	402.0	2.0	2.0	11.0	2.0	2.0	2.0	2.0	15.0	14.0	28.0	4.0	19.0	23.0	18.0	26.0	15.0	14.0	0.0	7.0	7.0	-4.1320300000000145	271.4036999999997	0.4782608695652174	0
PHENMETRAZINE	13.0	28.0	177.1153641	162.12699999999995	177.247	0.0	70.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	0.0	2.0	2.0	1.736	52.59970000000003	0.4545454545454545	1
PAMIDRONATE	13.0	24.0	235.001074952	223.981	235.069	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	6.0	10.0	0.0	4.0	4.0	7.0	8.0	4.0	6.0	0.0	0.0	0.0	-1.6633000000000002	42.70940000000002	1.0	0
CEFACLOR	24.0	38.0	367.03935460800005	353.70200000000017	367.814	0.0	126.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	5.0	3.0	9.0	3.0	4.0	5.0	4.0	7.0	5.0	3.0	0.0	3.0	3.0	0.6213000000000004	88.9079	0.26666666666666666	0
CARBOCYSTEINE	11.0	20.0	179.025228768	170.12499999999997	179.197	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	6.0	0.0	5.0	5.0	4.0	5.0	4.0	3.0	0.0	1.0	1.0	-0.7838999999999998	40.57200000000001	0.6	0
PENFLURIDOL	36.0	63.0	523.1701332639999	496.75700000000006	523.9730000000002	0.0	192.0	1.0	1.0	0.0	3.0	3.0	1.0	1.0	2.0	1.0	8.0	4.0	7.0	8.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	7.532700000000008	129.90180000000004	0.35714285714285715	1
TRAZODONE	26.0	48.0	371.15128800400004	349.69600000000014	371.87200000000007	0.0	136.0	1.0	1.0	0.0	1.0	3.0	1.0	1.0	6.0	0.0	7.0	4.0	5.0	5.0	0.0	6.0	6.0	0.0	0.0	0.0	0.0	2.3617	104.17400000000002	0.3684210526315789	1
OLMESARTAN	41.0	71.0	558.2226826800002	528.3550000000004	558.5950000000001	0.0	212.0	0.0	0.0	0.0	2.0	5.0	0.0	0.0	11.0	2.0	12.0	5.0	10.0	11.0	2.0	12.0	11.0	2.0	0.0	0.0	0.0	4.1700200000000045	146.7189999999998	0.3103448275862069	0
ZAFIRLUKAST	41.0	74.0	575.2090067759999	542.4230000000001	575.6870000000004	0.0	214.0	0.0	1.0	2.0	3.0	4.0	0.0	1.0	7.0	2.0	10.0	5.0	8.0	11.0	2.0	9.0	7.0	2.0	0.0	0.0	0.0	5.6959200000000045	156.9096999999997	0.2903225806451613	0
VORICONAZOLE	25.0	39.0	349.11504472800004	335.20400000000006	349.31600000000014	0.0	130.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	6.0	1.0	9.0	3.0	5.0	5.0	1.0	6.0	6.0	1.0	0.0	2.0	2.0	2.1769	80.68180000000002	0.25	0
DROSPIRENONE	27.0	57.0	366.21949482	336.26100000000014	366.50100000000015	0.0	144.0	1.0	7.0	0.0	0.0	0.0	1.0	6.0	3.0	0.0	3.0	7.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	10.0	10.0	4.305900000000004	99.49300000000008	0.8333333333333334	0
METHYLPHENIDATE	17.0	36.0	233.141578848	214.15900000000002	233.31099999999995	0.0	92.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0	1.0	3.0	2.0	3.0	4.0	1.0	3.0	3.0	1.0	0.0	2.0	2.0	2.0853	66.84070000000004	0.5	1
TETRABENAZINE	23.0	50.0	317.199093724	290.213	317.4290000000001	0.0	126.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	4.0	0.0	4.0	3.0	4.0	4.0	0.0	4.0	4.0	0.0	0.0	2.0	2.0	3.238100000000002	90.13300000000008	0.631578947368421	1
MIDAZOLAM	23.0	36.0	325.07820331600004	312.67	325.774	0.0	114.0	1.0	1.0	0.0	2.0	3.0	0.0	0.0	3.0	0.0	5.0	4.0	1.0	1.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	4.324220000000002	89.05400000000004	0.1111111111111111	1
DISOPYRAMIDE	25.0	54.0	339.231062548	310.2510000000001	339.48300000000006	0.0	134.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	3.0	1.0	4.0	2.0	8.0	8.0	2.0	4.0	3.0	1.0	0.0	1.0	1.0	3.3619000000000017	102.24840000000006	0.42857142857142855	0
EFAVIRENZ	21.0	30.0	315.027390868	306.60600000000005	315.6780000000001	0.0	110.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	2.0	1.0	7.0	3.0	0.0	1.0	1.0	3.0	2.0	1.0	0.0	1.0	1.0	4.073100000000002	69.78870000000002	0.35714285714285715	0
NORGESTREL	23.0	51.0	312.208930136	284.2290000000001	312.4530000000001	0.0	124.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	2.0	4.0	1.0	1.0	1.0	2.0	2.0	1.0	0.0	6.0	6.0	3.8826000000000014	90.49280000000005	0.7619047619047619	0
FLURAZEPAM	27.0	50.0	387.151368256	364.702	387.88600000000014	0.0	142.0	1.0	1.0	1.0	2.0	2.0	0.0	0.0	3.0	0.0	6.0	3.0	6.0	6.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	4.004900000000005	108.49900000000004	0.3333333333333333	1
OMEPRAZOLE	24.0	43.0	345.11471246800005	326.2720000000001	345.42400000000015	0.0	126.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	5.0	1.0	7.0	3.0	5.0	5.0	1.0	6.0	5.0	1.0	0.0	1.0	1.0	2.8997400000000013	93.02110000000003	0.29411764705882354	0
NIACIN	9.0	14.0	123.0320284	118.07099999999998	123.11099999999998	0.0	46.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	0.0	0.0	0.0	0.7797999999999999	31.196299999999994	0.0	0
VOGLIBOSE	18.0	39.0	267.13180201200004	246.11	267.278	0.0	108.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	8.0	8.0	8.0	1.0	5.0	5.0	8.0	8.0	8.0	8.0	0.0	5.0	5.0	-4.492399999999994	59.55630000000005	1.0	0
TRANDOLAPRIL	31.0	65.0	430.246772188	396.27300000000014	430.54500000000036	0.0	170.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	5.0	2.0	7.0	3.0	9.0	11.0	2.0	7.0	5.0	2.0	0.0	5.0	5.0	2.7733	116.41450000000007	0.625	0
AMINOGLUTETHIMIDE	17.0	33.0	232.121177752	216.155	232.283	0.0	90.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	2.0	4.0	2.0	2.0	2.0	3.0	4.0	3.0	2.0	0.0	1.0	1.0	1.3531999999999995	65.20710000000003	0.38461538461538464	0
TAMOXIFEN	28.0	57.0	371.224914548	342.2920000000001	371.524	0.0	144.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	2.0	0.0	2.0	3.0	8.0	8.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	5.9961000000000055	119.58200000000004	0.2307692307692308	0
QUINETHAZONE	18.0	30.0	289.028789924	277.64799999999997	289.74400000000014	0.0	98.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	4.0	3.0	8.0	2.0	2.0	2.0	4.0	6.0	4.0	3.0	0.0	1.0	1.0	0.8788	67.99310000000001	0.3	0
DESFLURANE	10.0	12.0	168.000984004	166.01999999999995	168.03599999999997	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	2.0	3.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0835	18.040000000000006	1.0	1
ATOVAQUONE	26.0	45.0	366.10227214800005	347.6920000000002	366.84400000000016	0.0	132.0	0.0	2.0	0.0	2.0	2.0	0.0	1.0	3.0	1.0	4.0	4.0	2.0	2.0	1.0	3.0	3.0	1.0	0.0	0.0	0.0	5.505100000000005	100.90880000000004	0.2727272727272727	0
NIZATIDINE	21.0	42.0	331.1136669120001	310.2990000000001	331.4670000000001	0.0	118.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	8.0	2.0	9.0	1.0	10.0	10.0	2.0	7.0	8.0	2.0	0.0	0.0	0.0	1.3224999999999998	87.80680000000004	0.5833333333333334	0
TERBUTALINE_SULFATE	16.0	35.0	225.136493468	206.136	225.288	0.0	90.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	4.0	4.0	4.0	1.0	3.0	4.0	4.0	4.0	4.0	4.0	0.0	1.0	1.0	1.5192999999999997	62.48710000000004	0.5	0
PROGLUMIDE	24.0	50.0	334.189257312	308.20800000000014	334.41600000000005	0.0	132.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	3.0	2.0	6.0	1.0	10.0	12.0	2.0	6.0	3.0	2.0	0.0	1.0	1.0	2.2984	91.72800000000004	0.5	0
FLUPREDNISOLONE	27.0	54.0	378.184252184	351.22400000000016	378.44000000000017	0.0	148.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	5.0	3.0	6.0	4.0	2.0	2.0	3.0	5.0	5.0	3.0	0.0	8.0	8.0	1.5056	95.32740000000004	0.7142857142857143	0
ISOXICAM	23.0	36.0	335.057591516	322.23700000000014	335.34100000000007	0.0	120.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	6.0	2.0	9.0	3.0	2.0	3.0	2.0	8.0	6.0	2.0	0.0	0.0	0.0	1.48242	80.80930000000005	0.14285714285714285	0
BROMPERIDOL	26.0	49.0	419.08961929599997	397.13800000000003	420.32199999999995	0.0	138.0	1.0	1.0	0.0	2.0	2.0	1.0	1.0	3.0	1.0	5.0	3.0	6.0	6.0	1.0	3.0	3.0	1.0	0.0	0.0	0.0	4.534700000000004	103.67730000000005	0.3809523809523809	1
METHAMPHETAMINE	11.0	26.0	149.12044948	134.11700000000002	149.23699999999997	0.0	60.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.837	48.66770000000003	0.4	1
FAMCICLOVIR	23.0	42.0	321.143704088	302.18500000000006	321.3370000000002	0.0	124.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	1.0	9.0	2.0	7.0	9.0	2.0	9.0	9.0	1.0	0.0	0.0	0.0	0.5409999999999998	81.10840000000002	0.5	0
SAQUINAVIR	49.0	99.0	670.3842687000001	620.455	670.855	0.0	262.0	1.0	2.0	4.0	2.0	3.0	1.0	2.0	7.0	5.0	11.0	5.0	12.0	16.0	6.0	11.0	7.0	5.0	0.0	6.0	6.0	3.092400000000004	188.2137999999996	0.5	0
LEVOCETIRIZINE	27.0	52.0	388.15537034000016	363.69500000000016	388.89500000000015	0.0	144.0	1.0	1.0	0.0	2.0	2.0	1.0	1.0	4.0	1.0	6.0	3.0	8.0	8.0	1.0	5.0	4.0	1.0	0.0	1.0	1.0	3.148200000000002	106.20480000000003	0.3809523809523809	0
BUTIZIDE	21.0	37.0	353.02707567199997	337.725	353.85300000000007	0.0	118.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	5.0	3.0	10.0	2.0	3.0	3.0	4.0	7.0	5.0	3.0	0.0	1.0	1.0	1.0634	80.01240000000003	0.4545454545454545	0
AMPHETAMINE	10.0	23.0	135.104799416	122.10599999999998	135.20999999999995	0.0	54.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	1.5763	43.79540000000002	0.3333333333333333	1
PHENYL_AMINOSALICYLATE	17.0	28.0	229.073893212	218.147	229.23500000000004	0.0	86.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	4.0	2.0	4.0	2.0	2.0	3.0	3.0	4.0	4.0	2.0	0.0	0.0	0.0	2.1936	63.91970000000002	0.0	0
DICHLORPHENAMIDE	16.0	22.0	303.914604032	299.1160000000001	305.1640000000001	0.0	90.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	4.0	2.0	10.0	1.0	2.0	2.0	4.0	6.0	4.0	2.0	0.0	0.0	0.0	0.2882000000000006	59.20840000000001	0.0	0
